username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.00001,DronaStudent2026!,Aarav,Patel,dps.stu.00001@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-00001,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD01-GEN-A,GSEB,DPS,GUJ,STD01,GEN,A,DPS26-00001,001,GR-DPS-2026-00001,2020-01-01,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800000001,,Service,Graduate,Patel Mother,+91-9700000001,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600000001,,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,ACTIVE,,,GEN,,,
dps.stu.00002,DronaStudent2026!,Aditi,Shah,dps.stu.00002@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-00002,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD01-GEN-A,GSEB,DPS,GUJ,STD01,GEN,A,DPS26-00002,002,GR-DPS-2026-00002,2020-02-02,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800000002,,Service,Graduate,Shah Mother,+91-9700000002,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600000002,,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,ACTIVE,,,GEN,,,
dps.stu.00003,DronaStudent2026!,Vihaan,Desai,dps.stu.00003@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-00003,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD01-GEN-A,GSEB,DPS,GUJ,STD01,GEN,A,DPS26-00003,003,GR-DPS-2026-00003,2020-03-03,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800000003,,Service,Graduate,Desai Mother,+91-9700000003,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600000003,,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,ACTIVE,,,GEN,,,
dps.stu.00004,DronaStudent2026!,Ananya,Mehta,dps.stu.00004@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-00004,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD01-GEN-A,GSEB,DPS,GUJ,STD01,GEN,A,DPS26-00004,004,GR-DPS-2026-00004,2020-04-04,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800000004,,Service,Graduate,Mehta Mother,+91-9700000004,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600000004,,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,ACTIVE,,,GEN,,,
dps.stu.00005,DronaStudent2026!,Ishaan,Joshi,dps.stu.00005@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-00005,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD01-GEN-A,GSEB,DPS,GUJ,STD01,GEN,A,DPS26-00005,005,GR-DPS-2026-00005,2020-05-05,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800000005,,Service,Graduate,Joshi Mother,+91-9700000005,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600000005,,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,ACTIVE,,,GEN,,,
dps.stu.00006,DronaStudent2026!,Diya,Trivedi,dps.stu.00006@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-00006,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD01-GEN-A,GSEB,DPS,GUJ,STD01,GEN,A,DPS26-00006,006,GR-DPS-2026-00006,2020-06-06,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800000006,,Service,Graduate,Trivedi Mother,+91-9700000006,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600000006,,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,ACTIVE,,,GEN,,,
dps.stu.00007,DronaStudent2026!,Kabir,Parmar,dps.stu.00007@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-00007,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD01-GEN-A,GSEB,DPS,GUJ,STD01,GEN,A,DPS26-00007,007,GR-DPS-2026-00007,2020-07-07,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800000007,,Service,Graduate,Parmar Mother,+91-9700000007,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600000007,,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,ACTIVE,,,GEN,,,
dps.stu.00008,DronaStudent2026!,Myra,Solanki,dps.stu.00008@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-00008,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD01-GEN-A,GSEB,DPS,GUJ,STD01,GEN,A,DPS26-00008,008,GR-DPS-2026-00008,2020-08-08,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800000008,,Service,Graduate,Solanki Mother,+91-9700000008,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600000008,,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,ACTIVE,,,GEN,,,
dps.stu.00009,DronaStudent2026!,Reyansh,Thakkar,dps.stu.00009@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-00009,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD01-GEN-A,GSEB,DPS,GUJ,STD01,GEN,A,DPS26-00009,009,GR-DPS-2026-00009,2020-09-09,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800000009,,Service,Graduate,Thakkar Mother,+91-9700000009,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600000009,,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,ACTIVE,,,GEN,,,
dps.stu.00010,DronaStudent2026!,Saanvi,Prajapati,dps.stu.00010@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-00010,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD01-GEN-A,GSEB,DPS,GUJ,STD01,GEN,A,DPS26-00010,010,GR-DPS-2026-00010,2020-10-10,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800000010,,Service,Graduate,Prajapati Mother,+91-9700000010,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600000010,,2026-2027,GSEB,DPS,GUJ,STD01,GEN,A,ACTIVE,,,GEN,,,
