username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,profile_field_parent_type,profile_field_parent_occupation,profile_field_parent_qualification,profile_field_parent_annual_income,profile_field_preferred_language,profile_field_consent_student_data,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent
dps.par.00001,DronaParent2026!,Patel,Guardian,dps.par.00001@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00001,+91-9500000001,,"Ahmedabad, Gujarat",Guardian,Service,Graduate,,Gujarati,1,,,0
dps.par.00002,DronaParent2026!,Desai,Parent,dps.par.00002@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00002,+91-9500000002,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00003,DronaParent2026!,Mehta,Parent,dps.par.00003@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00003,+91-9500000003,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00004,DronaParent2026!,Joshi,Parent,dps.par.00004@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00004,+91-9500000004,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00005,DronaParent2026!,Trivedi,Parent,dps.par.00005@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00005,+91-9500000005,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00006,DronaParent2026!,Parmar,Parent,dps.par.00006@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00006,+91-9500000006,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00007,DronaParent2026!,Solanki,Parent,dps.par.00007@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00007,+91-9500000007,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00008,DronaParent2026!,Thakkar,Parent,dps.par.00008@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00008,+91-9500000008,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00009,DronaParent2026!,Prajapati,Parent,dps.par.00009@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00009,+91-9500000009,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00010,DronaParent2026!,Chauhan,Guardian,dps.par.00010@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00010,+91-9500000010,,"Ahmedabad, Gujarat",Guardian,Service,Graduate,,Gujarati,1,,,0
dps.par.00011,DronaParent2026!,Vyas,Parent,dps.par.00011@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00011,+91-9500000011,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00012,DronaParent2026!,Dave,Parent,dps.par.00012@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00012,+91-9500000012,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00013,DronaParent2026!,Bhatt,Parent,dps.par.00013@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00013,+91-9500000013,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00014,DronaParent2026!,Panchal,Parent,dps.par.00014@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00014,+91-9500000014,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00015,DronaParent2026!,Makwana,Parent,dps.par.00015@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00015,+91-9500000015,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00016,DronaParent2026!,Jadeja,Parent,dps.par.00016@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00016,+91-9500000016,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00017,DronaParent2026!,Gohil,Parent,dps.par.00017@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00017,+91-9500000017,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00018,DronaParent2026!,Barot,Parent,dps.par.00018@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00018,+91-9500000018,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00019,DronaParent2026!,Patel,Guardian,dps.par.00019@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00019,+91-9500000019,,"Ahmedabad, Gujarat",Guardian,Service,Graduate,,Gujarati,1,,,0
dps.par.00020,DronaParent2026!,Desai,Parent,dps.par.00020@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00020,+91-9500000020,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00021,DronaParent2026!,Mehta,Parent,dps.par.00021@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00021,+91-9500000021,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00022,DronaParent2026!,Joshi,Parent,dps.par.00022@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00022,+91-9500000022,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00023,DronaParent2026!,Trivedi,Parent,dps.par.00023@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00023,+91-9500000023,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00024,DronaParent2026!,Parmar,Parent,dps.par.00024@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00024,+91-9500000024,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
dps.par.00025,DronaParent2026!,Solanki,Parent,dps.par.00025@parents.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Parents,DPS-PAR-00025,+91-9500000025,,"Ahmedabad, Gujarat",Father/Mother,Service,Graduate,,Gujarati,1,,,0
