student_username,contact_name,relation,mobile,notes
dps.stu.00001,Patel Family,Parent,+91-9600000001,Generated local testing contact
dps.stu.00002,Shah Family,Parent,+91-9600000002,Generated local testing contact
dps.stu.00003,Desai Family,Parent,+91-9600000003,Generated local testing contact
dps.stu.00004,Mehta Family,Parent,+91-9600000004,Generated local testing contact
dps.stu.00005,Joshi Family,Parent,+91-9600000005,Generated local testing contact
dps.stu.00006,Trivedi Family,Parent,+91-9600000006,Generated local testing contact
dps.stu.00007,Parmar Family,Parent,+91-9600000007,Generated local testing contact
dps.stu.00008,Solanki Family,Parent,+91-9600000008,Generated local testing contact
dps.stu.00009,Thakkar Family,Parent,+91-9600000009,Generated local testing contact
dps.stu.00010,Prajapati Family,Parent,+91-9600000010,Generated local testing contact
dps.stu.00011,Chauhan Family,Parent,+91-9600000011,Generated local testing contact
dps.stu.00012,Rathod Family,Parent,+91-9600000012,Generated local testing contact
dps.stu.00013,Vyas Family,Parent,+91-9600000013,Generated local testing contact
dps.stu.00014,Dave Family,Parent,+91-9600000014,Generated local testing contact
dps.stu.00015,Bhatt Family,Parent,+91-9600000015,Generated local testing contact
dps.stu.00016,Panchal Family,Parent,+91-9600000016,Generated local testing contact
dps.stu.00017,Makwana Family,Parent,+91-9600000017,Generated local testing contact
dps.stu.00018,Jadeja Family,Parent,+91-9600000018,Generated local testing contact
dps.stu.00019,Gohil Family,Parent,+91-9600000019,Generated local testing contact
dps.stu.00020,Barot Family,Parent,+91-9600000020,Generated local testing contact
dps.stu.00021,Patel Family,Parent,+91-9600000021,Generated local testing contact
dps.stu.00022,Shah Family,Parent,+91-9600000022,Generated local testing contact
dps.stu.00023,Desai Family,Parent,+91-9600000023,Generated local testing contact
dps.stu.00024,Mehta Family,Parent,+91-9600000024,Generated local testing contact
dps.stu.00025,Joshi Family,Parent,+91-9600000025,Generated local testing contact
dps.stu.00026,Trivedi Family,Parent,+91-9600000026,Generated local testing contact
dps.stu.00027,Parmar Family,Parent,+91-9600000027,Generated local testing contact
dps.stu.00028,Solanki Family,Parent,+91-9600000028,Generated local testing contact
dps.stu.00029,Thakkar Family,Parent,+91-9600000029,Generated local testing contact
dps.stu.00030,Prajapati Family,Parent,+91-9600000030,Generated local testing contact
dps.stu.00031,Chauhan Family,Parent,+91-9600000031,Generated local testing contact
dps.stu.00032,Rathod Family,Parent,+91-9600000032,Generated local testing contact
dps.stu.00033,Vyas Family,Parent,+91-9600000033,Generated local testing contact
dps.stu.00034,Dave Family,Parent,+91-9600000034,Generated local testing contact
dps.stu.00035,Bhatt Family,Parent,+91-9600000035,Generated local testing contact
dps.stu.00036,Panchal Family,Parent,+91-9600000036,Generated local testing contact
dps.stu.00037,Makwana Family,Parent,+91-9600000037,Generated local testing contact
dps.stu.00038,Jadeja Family,Parent,+91-9600000038,Generated local testing contact
dps.stu.00039,Gohil Family,Parent,+91-9600000039,Generated local testing contact
dps.stu.00040,Barot Family,Parent,+91-9600000040,Generated local testing contact
dps.stu.00041,Patel Family,Parent,+91-9600000041,Generated local testing contact
dps.stu.00042,Shah Family,Parent,+91-9600000042,Generated local testing contact
dps.stu.00043,Desai Family,Parent,+91-9600000043,Generated local testing contact
