username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.01081,DronaStudent2026!,Rudra,Patel,dps.stu.01081@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01081,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-A,GSEB,DPS,GUJ,STD04,GEN,A,DPS26-01081,001,GR-DPS-2026-01081,2017-01-01,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800001081,,Service,Graduate,Patel Mother,+91-9700001081,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600001081,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,A,ACTIVE,,STD03,GEN,,,
dps.stu.01082,DronaStudent2026!,Janvi,Shah,dps.stu.01082@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01082,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-A,GSEB,DPS,GUJ,STD04,GEN,A,DPS26-01082,002,GR-DPS-2026-01082,2017-02-02,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800001082,,Service,Graduate,Shah Mother,+91-9700001082,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600001082,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,A,ACTIVE,,STD03,GEN,,,
dps.stu.01083,DronaStudent2026!,Om,Desai,dps.stu.01083@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01083,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-A,GSEB,DPS,GUJ,STD04,GEN,A,DPS26-01083,003,GR-DPS-2026-01083,2017-03-03,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800001083,,Service,Graduate,Desai Mother,+91-9700001083,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600001083,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,A,ACTIVE,,STD03,GEN,,,
dps.stu.01084,DronaStudent2026!,Pihu,Mehta,dps.stu.01084@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01084,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-A,GSEB,DPS,GUJ,STD04,GEN,A,DPS26-01084,004,GR-DPS-2026-01084,2017-04-04,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800001084,,Service,Graduate,Mehta Mother,+91-9700001084,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600001084,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,A,ACTIVE,,STD03,GEN,,,
dps.stu.01085,DronaStudent2026!,Manan,Joshi,dps.stu.01085@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01085,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-A,GSEB,DPS,GUJ,STD04,GEN,A,DPS26-01085,005,GR-DPS-2026-01085,2017-05-05,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800001085,,Service,Graduate,Joshi Mother,+91-9700001085,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600001085,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,A,ACTIVE,,STD03,GEN,,,
dps.stu.01086,DronaStudent2026!,Hetvi,Trivedi,dps.stu.01086@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01086,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-A,GSEB,DPS,GUJ,STD04,GEN,A,DPS26-01086,006,GR-DPS-2026-01086,2017-06-06,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800001086,,Service,Graduate,Trivedi Mother,+91-9700001086,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600001086,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,A,ACTIVE,,STD03,GEN,,,
dps.stu.01087,DronaStudent2026!,Aryan,Parmar,dps.stu.01087@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01087,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-A,GSEB,DPS,GUJ,STD04,GEN,A,DPS26-01087,007,GR-DPS-2026-01087,2017-07-07,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800001087,,Service,Graduate,Parmar Mother,+91-9700001087,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600001087,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,A,ACTIVE,,STD03,GEN,,,
dps.stu.01088,DronaStudent2026!,Prisha,Solanki,dps.stu.01088@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01088,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-A,GSEB,DPS,GUJ,STD04,GEN,A,DPS26-01088,008,GR-DPS-2026-01088,2017-08-08,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800001088,,Service,Graduate,Solanki Mother,+91-9700001088,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600001088,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,A,ACTIVE,,STD03,GEN,,,
dps.stu.01089,DronaStudent2026!,Shaurya,Thakkar,dps.stu.01089@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01089,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-A,GSEB,DPS,GUJ,STD04,GEN,A,DPS26-01089,009,GR-DPS-2026-01089,2017-09-09,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800001089,,Service,Graduate,Thakkar Mother,+91-9700001089,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600001089,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,A,ACTIVE,,STD03,GEN,,,
dps.stu.01090,DronaStudent2026!,Riddhi,Prajapati,dps.stu.01090@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01090,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-A,GSEB,DPS,GUJ,STD04,GEN,A,DPS26-01090,010,GR-DPS-2026-01090,2017-10-10,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800001090,,Service,Graduate,Prajapati Mother,+91-9700001090,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600001090,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,A,ACTIVE,,STD03,GEN,,,
