username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.01141,DronaStudent2026!,Darsh,Patel,dps.stu.01141@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01141,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-B,GSEB,DPS,GUJ,STD04,GEN,B,DPS26-01141,001,GR-DPS-2026-01141,2017-01-07,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800001141,,Service,Graduate,Patel Mother,+91-9700001141,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600001141,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,B,ACTIVE,,STD03,GEN,,,
dps.stu.01142,DronaStudent2026!,Khushi,Shah,dps.stu.01142@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01142,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-B,GSEB,DPS,GUJ,STD04,GEN,B,DPS26-01142,002,GR-DPS-2026-01142,2017-02-08,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800001142,,Service,Graduate,Shah Mother,+91-9700001142,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600001142,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,B,ACTIVE,,STD03,GEN,,,
dps.stu.01143,DronaStudent2026!,Ved,Desai,dps.stu.01143@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01143,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-B,GSEB,DPS,GUJ,STD04,GEN,B,DPS26-01143,003,GR-DPS-2026-01143,2017-03-09,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800001143,,Service,Graduate,Desai Mother,+91-9700001143,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600001143,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,B,ACTIVE,,STD03,GEN,,,
dps.stu.01144,DronaStudent2026!,Niyati,Mehta,dps.stu.01144@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01144,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-B,GSEB,DPS,GUJ,STD04,GEN,B,DPS26-01144,004,GR-DPS-2026-01144,2017-04-10,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800001144,,Service,Graduate,Mehta Mother,+91-9700001144,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600001144,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,B,ACTIVE,,STD03,GEN,,,
dps.stu.01145,DronaStudent2026!,Jay,Joshi,dps.stu.01145@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01145,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-B,GSEB,DPS,GUJ,STD04,GEN,B,DPS26-01145,005,GR-DPS-2026-01145,2017-05-11,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800001145,,Service,Graduate,Joshi Mother,+91-9700001145,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600001145,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,B,ACTIVE,,STD03,GEN,,,
dps.stu.01146,DronaStudent2026!,Aarohi,Trivedi,dps.stu.01146@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01146,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-B,GSEB,DPS,GUJ,STD04,GEN,B,DPS26-01146,006,GR-DPS-2026-01146,2017-06-12,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800001146,,Service,Graduate,Trivedi Mother,+91-9700001146,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600001146,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,B,ACTIVE,,STD03,GEN,,,
dps.stu.01147,DronaStudent2026!,Samarth,Parmar,dps.stu.01147@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01147,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-B,GSEB,DPS,GUJ,STD04,GEN,B,DPS26-01147,007,GR-DPS-2026-01147,2017-07-13,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800001147,,Service,Graduate,Parmar Mother,+91-9700001147,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600001147,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,B,ACTIVE,,STD03,GEN,,,
dps.stu.01148,DronaStudent2026!,Tanvi,Solanki,dps.stu.01148@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01148,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-B,GSEB,DPS,GUJ,STD04,GEN,B,DPS26-01148,008,GR-DPS-2026-01148,2017-08-14,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800001148,,Service,Graduate,Solanki Mother,+91-9700001148,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600001148,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,B,ACTIVE,,STD03,GEN,,,
dps.stu.01149,DronaStudent2026!,Rohan,Thakkar,dps.stu.01149@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01149,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-B,GSEB,DPS,GUJ,STD04,GEN,B,DPS26-01149,009,GR-DPS-2026-01149,2017-09-15,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800001149,,Service,Graduate,Thakkar Mother,+91-9700001149,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600001149,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,B,ACTIVE,,STD03,GEN,,,
dps.stu.01150,DronaStudent2026!,Bhakti,Prajapati,dps.stu.01150@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01150,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-B,GSEB,DPS,GUJ,STD04,GEN,B,DPS26-01150,010,GR-DPS-2026-01150,2017-10-16,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800001150,,Service,Graduate,Prajapati Mother,+91-9700001150,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600001150,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,B,ACTIVE,,STD03,GEN,,,
