username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.01321,DronaStudent2026!,Parth,Patel,dps.stu.01321@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01321,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-E,GSEB,DPS,GUJ,STD04,GEN,E,DPS26-01321,001,GR-DPS-2026-01321,2017-01-25,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800001321,,Service,Graduate,Patel Mother,+91-9700001321,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600001321,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,E,ACTIVE,,STD03,GEN,,,
dps.stu.01322,DronaStudent2026!,Jiya,Shah,dps.stu.01322@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01322,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-E,GSEB,DPS,GUJ,STD04,GEN,E,DPS26-01322,002,GR-DPS-2026-01322,2017-02-26,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800001322,,Service,Graduate,Shah Mother,+91-9700001322,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600001322,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,E,ACTIVE,,STD03,GEN,,,
dps.stu.01323,DronaStudent2026!,Dev,Desai,dps.stu.01323@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01323,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-E,GSEB,DPS,GUJ,STD04,GEN,E,DPS26-01323,003,GR-DPS-2026-01323,2017-03-27,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800001323,,Service,Graduate,Desai Mother,+91-9700001323,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600001323,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,E,ACTIVE,,STD03,GEN,,,
dps.stu.01324,DronaStudent2026!,Mahi,Mehta,dps.stu.01324@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01324,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-E,GSEB,DPS,GUJ,STD04,GEN,E,DPS26-01324,004,GR-DPS-2026-01324,2017-04-01,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800001324,,Service,Graduate,Mehta Mother,+91-9700001324,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600001324,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,E,ACTIVE,,STD03,GEN,,,
dps.stu.01325,DronaStudent2026!,Neil,Joshi,dps.stu.01325@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01325,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-E,GSEB,DPS,GUJ,STD04,GEN,E,DPS26-01325,005,GR-DPS-2026-01325,2017-05-02,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800001325,,Service,Graduate,Joshi Mother,+91-9700001325,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600001325,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,E,ACTIVE,,STD03,GEN,,,
dps.stu.01326,DronaStudent2026!,Tara,Trivedi,dps.stu.01326@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01326,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-E,GSEB,DPS,GUJ,STD04,GEN,E,DPS26-01326,006,GR-DPS-2026-01326,2017-06-03,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800001326,,Service,Graduate,Trivedi Mother,+91-9700001326,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600001326,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,E,ACTIVE,,STD03,GEN,,,
dps.stu.01327,DronaStudent2026!,Harsh,Parmar,dps.stu.01327@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01327,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-E,GSEB,DPS,GUJ,STD04,GEN,E,DPS26-01327,007,GR-DPS-2026-01327,2017-07-04,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800001327,,Service,Graduate,Parmar Mother,+91-9700001327,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600001327,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,E,ACTIVE,,STD03,GEN,,,
dps.stu.01328,DronaStudent2026!,Aesha,Solanki,dps.stu.01328@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01328,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-E,GSEB,DPS,GUJ,STD04,GEN,E,DPS26-01328,008,GR-DPS-2026-01328,2017-08-05,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800001328,,Service,Graduate,Solanki Mother,+91-9700001328,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600001328,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,E,ACTIVE,,STD03,GEN,,,
dps.stu.01329,DronaStudent2026!,Yash,Thakkar,dps.stu.01329@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01329,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-E,GSEB,DPS,GUJ,STD04,GEN,E,DPS26-01329,009,GR-DPS-2026-01329,2017-09-06,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800001329,,Service,Graduate,Thakkar Mother,+91-9700001329,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600001329,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,E,ACTIVE,,STD03,GEN,,,
dps.stu.01330,DronaStudent2026!,Kiara,Prajapati,dps.stu.01330@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Primary,DPS26-01330,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD04-GEN-E,GSEB,DPS,GUJ,STD04,GEN,E,DPS26-01330,010,GR-DPS-2026-01330,2017-10-07,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800001330,,Service,Graduate,Prajapati Mother,+91-9700001330,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600001330,,2026-2027,GSEB,DPS,GUJ,STD04,GEN,E,ACTIVE,,STD03,GEN,,,
