username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.02821,DronaStudent2026!,Parth,Patel,dps.stu.02821@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02821,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02821,001,GR-DPS-2026-02821,2013-01-13,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800002821,,Service,Graduate,Patel Mother,+91-9700002821,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600002821,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02822,DronaStudent2026!,Jiya,Shah,dps.stu.02822@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02822,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02822,002,GR-DPS-2026-02822,2013-02-14,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800002822,,Service,Graduate,Shah Mother,+91-9700002822,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600002822,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02823,DronaStudent2026!,Dev,Desai,dps.stu.02823@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02823,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02823,003,GR-DPS-2026-02823,2013-03-15,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800002823,,Service,Graduate,Desai Mother,+91-9700002823,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600002823,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02824,DronaStudent2026!,Mahi,Mehta,dps.stu.02824@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02824,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02824,004,GR-DPS-2026-02824,2013-04-16,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800002824,,Service,Graduate,Mehta Mother,+91-9700002824,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600002824,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02825,DronaStudent2026!,Neil,Joshi,dps.stu.02825@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02825,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02825,005,GR-DPS-2026-02825,2013-05-17,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800002825,,Service,Graduate,Joshi Mother,+91-9700002825,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600002825,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02826,DronaStudent2026!,Tara,Trivedi,dps.stu.02826@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02826,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02826,006,GR-DPS-2026-02826,2013-06-18,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800002826,,Service,Graduate,Trivedi Mother,+91-9700002826,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600002826,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02827,DronaStudent2026!,Harsh,Parmar,dps.stu.02827@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02827,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02827,007,GR-DPS-2026-02827,2013-07-19,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800002827,,Service,Graduate,Parmar Mother,+91-9700002827,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600002827,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02828,DronaStudent2026!,Aesha,Solanki,dps.stu.02828@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02828,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02828,008,GR-DPS-2026-02828,2013-08-20,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800002828,,Service,Graduate,Solanki Mother,+91-9700002828,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600002828,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02829,DronaStudent2026!,Yash,Thakkar,dps.stu.02829@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02829,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02829,009,GR-DPS-2026-02829,2013-09-21,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800002829,,Service,Graduate,Thakkar Mother,+91-9700002829,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600002829,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02830,DronaStudent2026!,Kiara,Prajapati,dps.stu.02830@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02830,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02830,010,GR-DPS-2026-02830,2013-10-22,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800002830,,Service,Graduate,Prajapati Mother,+91-9700002830,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600002830,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02831,DronaStudent2026!,Rudra,Chauhan,dps.stu.02831@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02831,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02831,011,GR-DPS-2026-02831,2013-11-23,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Chauhan Father,+91-9800002831,,Service,Graduate,Chauhan Mother,+91-9700002831,,Homemaker,Graduate,,,,,,Chauhan Family,Parent,+91-9600002831,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02832,DronaStudent2026!,Janvi,Rathod,dps.stu.02832@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02832,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02832,012,GR-DPS-2026-02832,2013-12-24,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Rathod Father,+91-9800002832,,Service,Graduate,Rathod Mother,+91-9700002832,,Homemaker,Graduate,,,,,,Rathod Family,Parent,+91-9600002832,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02833,DronaStudent2026!,Om,Vyas,dps.stu.02833@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02833,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02833,013,GR-DPS-2026-02833,2013-01-25,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Vyas Father,+91-9800002833,,Service,Graduate,Vyas Mother,+91-9700002833,,Homemaker,Graduate,,,,,,Vyas Family,Parent,+91-9600002833,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02834,DronaStudent2026!,Pihu,Dave,dps.stu.02834@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02834,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02834,014,GR-DPS-2026-02834,2013-02-26,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Dave Father,+91-9800002834,,Service,Graduate,Dave Mother,+91-9700002834,,Homemaker,Graduate,,,,,,Dave Family,Parent,+91-9600002834,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02835,DronaStudent2026!,Manan,Bhatt,dps.stu.02835@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02835,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02835,015,GR-DPS-2026-02835,2013-03-27,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Bhatt Father,+91-9800002835,,Service,Graduate,Bhatt Mother,+91-9700002835,,Homemaker,Graduate,,,,,,Bhatt Family,Parent,+91-9600002835,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02836,DronaStudent2026!,Hetvi,Panchal,dps.stu.02836@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02836,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02836,016,GR-DPS-2026-02836,2013-04-01,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Panchal Father,+91-9800002836,,Service,Graduate,Panchal Mother,+91-9700002836,,Homemaker,Graduate,,,,,,Panchal Family,Parent,+91-9600002836,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
dps.stu.02837,DronaStudent2026!,Aryan,Makwana,dps.stu.02837@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Upper Primary,DPS26-02837,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD08-GEN-F,GSEB,DPS,GUJ,STD08,GEN,F,DPS26-02837,017,GR-DPS-2026-02837,2013-05-02,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Makwana Father,+91-9800002837,,Service,Graduate,Makwana Mother,+91-9700002837,,Homemaker,Graduate,,,,,,Makwana Family,Parent,+91-9600002837,,2026-2027,GSEB,DPS,GUJ,STD08,GEN,F,ACTIVE,,STD07,GEN,,,
