username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.03001,DronaStudent2026!,Aarav,Patel,dps.stu.03001@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03001,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD09-GEN-C,GSEB,DPS,GUJ,STD09,GEN,C,DPS26-03001,001,GR-DPS-2026-03001,2012-01-04,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800003001,,Service,Graduate,Patel Mother,+91-9700003001,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600003001,,2026-2027,GSEB,DPS,GUJ,STD09,GEN,C,ACTIVE,,STD08,GEN,,,
dps.stu.03002,DronaStudent2026!,Aditi,Shah,dps.stu.03002@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03002,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD09-GEN-C,GSEB,DPS,GUJ,STD09,GEN,C,DPS26-03002,002,GR-DPS-2026-03002,2012-02-05,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800003002,,Service,Graduate,Shah Mother,+91-9700003002,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600003002,,2026-2027,GSEB,DPS,GUJ,STD09,GEN,C,ACTIVE,,STD08,GEN,,,
dps.stu.03003,DronaStudent2026!,Vihaan,Desai,dps.stu.03003@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03003,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD09-GEN-C,GSEB,DPS,GUJ,STD09,GEN,C,DPS26-03003,003,GR-DPS-2026-03003,2012-03-06,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800003003,,Service,Graduate,Desai Mother,+91-9700003003,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600003003,,2026-2027,GSEB,DPS,GUJ,STD09,GEN,C,ACTIVE,,STD08,GEN,,,
dps.stu.03004,DronaStudent2026!,Ananya,Mehta,dps.stu.03004@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03004,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD09-GEN-C,GSEB,DPS,GUJ,STD09,GEN,C,DPS26-03004,004,GR-DPS-2026-03004,2012-04-07,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800003004,,Service,Graduate,Mehta Mother,+91-9700003004,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600003004,,2026-2027,GSEB,DPS,GUJ,STD09,GEN,C,ACTIVE,,STD08,GEN,,,
dps.stu.03005,DronaStudent2026!,Ishaan,Joshi,dps.stu.03005@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03005,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD09-GEN-C,GSEB,DPS,GUJ,STD09,GEN,C,DPS26-03005,005,GR-DPS-2026-03005,2012-05-08,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800003005,,Service,Graduate,Joshi Mother,+91-9700003005,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600003005,,2026-2027,GSEB,DPS,GUJ,STD09,GEN,C,ACTIVE,,STD08,GEN,,,
dps.stu.03006,DronaStudent2026!,Diya,Trivedi,dps.stu.03006@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03006,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD09-GEN-C,GSEB,DPS,GUJ,STD09,GEN,C,DPS26-03006,006,GR-DPS-2026-03006,2012-06-09,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800003006,,Service,Graduate,Trivedi Mother,+91-9700003006,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600003006,,2026-2027,GSEB,DPS,GUJ,STD09,GEN,C,ACTIVE,,STD08,GEN,,,
dps.stu.03007,DronaStudent2026!,Kabir,Parmar,dps.stu.03007@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03007,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD09-GEN-C,GSEB,DPS,GUJ,STD09,GEN,C,DPS26-03007,007,GR-DPS-2026-03007,2012-07-10,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800003007,,Service,Graduate,Parmar Mother,+91-9700003007,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600003007,,2026-2027,GSEB,DPS,GUJ,STD09,GEN,C,ACTIVE,,STD08,GEN,,,
dps.stu.03008,DronaStudent2026!,Myra,Solanki,dps.stu.03008@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03008,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD09-GEN-C,GSEB,DPS,GUJ,STD09,GEN,C,DPS26-03008,008,GR-DPS-2026-03008,2012-08-11,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800003008,,Service,Graduate,Solanki Mother,+91-9700003008,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600003008,,2026-2027,GSEB,DPS,GUJ,STD09,GEN,C,ACTIVE,,STD08,GEN,,,
dps.stu.03009,DronaStudent2026!,Reyansh,Thakkar,dps.stu.03009@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03009,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD09-GEN-C,GSEB,DPS,GUJ,STD09,GEN,C,DPS26-03009,009,GR-DPS-2026-03009,2012-09-12,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800003009,,Service,Graduate,Thakkar Mother,+91-9700003009,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600003009,,2026-2027,GSEB,DPS,GUJ,STD09,GEN,C,ACTIVE,,STD08,GEN,,,
dps.stu.03010,DronaStudent2026!,Saanvi,Prajapati,dps.stu.03010@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03010,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD09-GEN-C,GSEB,DPS,GUJ,STD09,GEN,C,DPS26-03010,010,GR-DPS-2026-03010,2012-10-13,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800003010,,Service,Graduate,Prajapati Mother,+91-9700003010,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600003010,,2026-2027,GSEB,DPS,GUJ,STD09,GEN,C,ACTIVE,,STD08,GEN,,,
