username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.03421,DronaStudent2026!,Parth,Patel,dps.stu.03421@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03421,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD10-GEN-D,GSEB,DPS,GUJ,STD10,GEN,D,DPS26-03421,001,GR-DPS-2026-03421,2011-01-19,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800003421,,Service,Graduate,Patel Mother,+91-9700003421,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600003421,,2026-2027,GSEB,DPS,GUJ,STD10,GEN,D,ACTIVE,,STD09,GEN,,,
dps.stu.03422,DronaStudent2026!,Jiya,Shah,dps.stu.03422@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03422,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD10-GEN-D,GSEB,DPS,GUJ,STD10,GEN,D,DPS26-03422,002,GR-DPS-2026-03422,2011-02-20,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800003422,,Service,Graduate,Shah Mother,+91-9700003422,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600003422,,2026-2027,GSEB,DPS,GUJ,STD10,GEN,D,ACTIVE,,STD09,GEN,,,
dps.stu.03423,DronaStudent2026!,Dev,Desai,dps.stu.03423@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03423,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD10-GEN-D,GSEB,DPS,GUJ,STD10,GEN,D,DPS26-03423,003,GR-DPS-2026-03423,2011-03-21,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800003423,,Service,Graduate,Desai Mother,+91-9700003423,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600003423,,2026-2027,GSEB,DPS,GUJ,STD10,GEN,D,ACTIVE,,STD09,GEN,,,
dps.stu.03424,DronaStudent2026!,Mahi,Mehta,dps.stu.03424@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03424,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD10-GEN-D,GSEB,DPS,GUJ,STD10,GEN,D,DPS26-03424,004,GR-DPS-2026-03424,2011-04-22,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800003424,,Service,Graduate,Mehta Mother,+91-9700003424,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600003424,,2026-2027,GSEB,DPS,GUJ,STD10,GEN,D,ACTIVE,,STD09,GEN,,,
dps.stu.03425,DronaStudent2026!,Neil,Joshi,dps.stu.03425@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03425,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD10-GEN-D,GSEB,DPS,GUJ,STD10,GEN,D,DPS26-03425,005,GR-DPS-2026-03425,2011-05-23,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800003425,,Service,Graduate,Joshi Mother,+91-9700003425,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600003425,,2026-2027,GSEB,DPS,GUJ,STD10,GEN,D,ACTIVE,,STD09,GEN,,,
dps.stu.03426,DronaStudent2026!,Tara,Trivedi,dps.stu.03426@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03426,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD10-GEN-D,GSEB,DPS,GUJ,STD10,GEN,D,DPS26-03426,006,GR-DPS-2026-03426,2011-06-24,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800003426,,Service,Graduate,Trivedi Mother,+91-9700003426,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600003426,,2026-2027,GSEB,DPS,GUJ,STD10,GEN,D,ACTIVE,,STD09,GEN,,,
dps.stu.03427,DronaStudent2026!,Harsh,Parmar,dps.stu.03427@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03427,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD10-GEN-D,GSEB,DPS,GUJ,STD10,GEN,D,DPS26-03427,007,GR-DPS-2026-03427,2011-07-25,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800003427,,Service,Graduate,Parmar Mother,+91-9700003427,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600003427,,2026-2027,GSEB,DPS,GUJ,STD10,GEN,D,ACTIVE,,STD09,GEN,,,
dps.stu.03428,DronaStudent2026!,Aesha,Solanki,dps.stu.03428@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03428,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD10-GEN-D,GSEB,DPS,GUJ,STD10,GEN,D,DPS26-03428,008,GR-DPS-2026-03428,2011-08-26,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800003428,,Service,Graduate,Solanki Mother,+91-9700003428,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600003428,,2026-2027,GSEB,DPS,GUJ,STD10,GEN,D,ACTIVE,,STD09,GEN,,,
dps.stu.03429,DronaStudent2026!,Yash,Thakkar,dps.stu.03429@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03429,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD10-GEN-D,GSEB,DPS,GUJ,STD10,GEN,D,DPS26-03429,009,GR-DPS-2026-03429,2011-09-27,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800003429,,Service,Graduate,Thakkar Mother,+91-9700003429,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600003429,,2026-2027,GSEB,DPS,GUJ,STD10,GEN,D,ACTIVE,,STD09,GEN,,,
dps.stu.03430,DronaStudent2026!,Kiara,Prajapati,dps.stu.03430@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Secondary,DPS26-03430,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD10-GEN-D,GSEB,DPS,GUJ,STD10,GEN,D,DPS26-03430,010,GR-DPS-2026-03430,2011-10-01,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800003430,,Service,Graduate,Prajapati Mother,+91-9700003430,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600003430,,2026-2027,GSEB,DPS,GUJ,STD10,GEN,D,ACTIVE,,STD09,GEN,,,
