username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.04276,DronaStudent2026!,Tara,Panchal,dps.stu.04276@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04276,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-D,GSEB,DPS,GUJ,STD11,ARTS,D,DPS26-04276,001,GR-DPS-2026-04276,2010-04-10,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Panchal Father,+91-9800004276,,Service,Graduate,Panchal Mother,+91-9700004276,,Homemaker,Graduate,,,,,,Panchal Family,Parent,+91-9600004276,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,D,ACTIVE,,STD10,GEN,,,
dps.stu.04277,DronaStudent2026!,Harsh,Makwana,dps.stu.04277@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04277,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-D,GSEB,DPS,GUJ,STD11,ARTS,D,DPS26-04277,002,GR-DPS-2026-04277,2010-05-11,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Makwana Father,+91-9800004277,,Service,Graduate,Makwana Mother,+91-9700004277,,Homemaker,Graduate,,,,,,Makwana Family,Parent,+91-9600004277,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,D,ACTIVE,,STD10,GEN,,,
dps.stu.04278,DronaStudent2026!,Aesha,Jadeja,dps.stu.04278@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04278,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-D,GSEB,DPS,GUJ,STD11,ARTS,D,DPS26-04278,003,GR-DPS-2026-04278,2010-06-12,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Jadeja Father,+91-9800004278,,Service,Graduate,Jadeja Mother,+91-9700004278,,Homemaker,Graduate,,,,,,Jadeja Family,Parent,+91-9600004278,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,D,ACTIVE,,STD10,GEN,,,
dps.stu.04279,DronaStudent2026!,Yash,Gohil,dps.stu.04279@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04279,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-D,GSEB,DPS,GUJ,STD11,ARTS,D,DPS26-04279,004,GR-DPS-2026-04279,2010-07-13,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Gohil Father,+91-9800004279,,Service,Graduate,Gohil Mother,+91-9700004279,,Homemaker,Graduate,,,,,,Gohil Family,Parent,+91-9600004279,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,D,ACTIVE,,STD10,GEN,,,
dps.stu.04280,DronaStudent2026!,Kiara,Barot,dps.stu.04280@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04280,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-D,GSEB,DPS,GUJ,STD11,ARTS,D,DPS26-04280,005,GR-DPS-2026-04280,2010-08-14,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Barot Father,+91-9800004280,,Service,Graduate,Barot Mother,+91-9700004280,,Homemaker,Graduate,,,,,,Barot Family,Parent,+91-9600004280,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,D,ACTIVE,,STD10,GEN,,,
dps.stu.04281,DronaStudent2026!,Rudra,Patel,dps.stu.04281@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04281,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-D,GSEB,DPS,GUJ,STD11,ARTS,D,DPS26-04281,006,GR-DPS-2026-04281,2010-09-15,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800004281,,Service,Graduate,Patel Mother,+91-9700004281,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600004281,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,D,ACTIVE,,STD10,GEN,,,
dps.stu.04282,DronaStudent2026!,Janvi,Shah,dps.stu.04282@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04282,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-D,GSEB,DPS,GUJ,STD11,ARTS,D,DPS26-04282,007,GR-DPS-2026-04282,2010-10-16,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800004282,,Service,Graduate,Shah Mother,+91-9700004282,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600004282,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,D,ACTIVE,,STD10,GEN,,,
dps.stu.04283,DronaStudent2026!,Om,Desai,dps.stu.04283@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04283,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-D,GSEB,DPS,GUJ,STD11,ARTS,D,DPS26-04283,008,GR-DPS-2026-04283,2010-11-17,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800004283,,Service,Graduate,Desai Mother,+91-9700004283,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600004283,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,D,ACTIVE,,STD10,GEN,,,
dps.stu.04284,DronaStudent2026!,Pihu,Mehta,dps.stu.04284@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04284,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-D,GSEB,DPS,GUJ,STD11,ARTS,D,DPS26-04284,009,GR-DPS-2026-04284,2010-12-18,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800004284,,Service,Graduate,Mehta Mother,+91-9700004284,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600004284,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,D,ACTIVE,,STD10,GEN,,,
dps.stu.04285,DronaStudent2026!,Manan,Joshi,dps.stu.04285@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04285,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-D,GSEB,DPS,GUJ,STD11,ARTS,D,DPS26-04285,010,GR-DPS-2026-04285,2010-01-19,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800004285,,Service,Graduate,Joshi Mother,+91-9700004285,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600004285,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,D,ACTIVE,,STD10,GEN,,,
