username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.04321,DronaStudent2026!,Parth,Patel,dps.stu.04321@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04321,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-E,GSEB,DPS,GUJ,STD11,ARTS,E,DPS26-04321,001,GR-DPS-2026-04321,2010-01-01,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800004321,,Service,Graduate,Patel Mother,+91-9700004321,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600004321,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,E,ACTIVE,,STD10,GEN,,,
dps.stu.04322,DronaStudent2026!,Jiya,Shah,dps.stu.04322@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04322,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-E,GSEB,DPS,GUJ,STD11,ARTS,E,DPS26-04322,002,GR-DPS-2026-04322,2010-02-02,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800004322,,Service,Graduate,Shah Mother,+91-9700004322,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600004322,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,E,ACTIVE,,STD10,GEN,,,
dps.stu.04323,DronaStudent2026!,Dev,Desai,dps.stu.04323@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04323,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-E,GSEB,DPS,GUJ,STD11,ARTS,E,DPS26-04323,003,GR-DPS-2026-04323,2010-03-03,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800004323,,Service,Graduate,Desai Mother,+91-9700004323,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600004323,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,E,ACTIVE,,STD10,GEN,,,
dps.stu.04324,DronaStudent2026!,Mahi,Mehta,dps.stu.04324@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04324,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-E,GSEB,DPS,GUJ,STD11,ARTS,E,DPS26-04324,004,GR-DPS-2026-04324,2010-04-04,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800004324,,Service,Graduate,Mehta Mother,+91-9700004324,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600004324,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,E,ACTIVE,,STD10,GEN,,,
dps.stu.04325,DronaStudent2026!,Neil,Joshi,dps.stu.04325@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04325,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-E,GSEB,DPS,GUJ,STD11,ARTS,E,DPS26-04325,005,GR-DPS-2026-04325,2010-05-05,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800004325,,Service,Graduate,Joshi Mother,+91-9700004325,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600004325,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,E,ACTIVE,,STD10,GEN,,,
dps.stu.04326,DronaStudent2026!,Tara,Trivedi,dps.stu.04326@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04326,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-E,GSEB,DPS,GUJ,STD11,ARTS,E,DPS26-04326,006,GR-DPS-2026-04326,2010-06-06,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800004326,,Service,Graduate,Trivedi Mother,+91-9700004326,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600004326,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,E,ACTIVE,,STD10,GEN,,,
dps.stu.04327,DronaStudent2026!,Harsh,Parmar,dps.stu.04327@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04327,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-E,GSEB,DPS,GUJ,STD11,ARTS,E,DPS26-04327,007,GR-DPS-2026-04327,2010-07-07,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800004327,,Service,Graduate,Parmar Mother,+91-9700004327,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600004327,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,E,ACTIVE,,STD10,GEN,,,
dps.stu.04328,DronaStudent2026!,Aesha,Solanki,dps.stu.04328@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04328,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-E,GSEB,DPS,GUJ,STD11,ARTS,E,DPS26-04328,008,GR-DPS-2026-04328,2010-08-08,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800004328,,Service,Graduate,Solanki Mother,+91-9700004328,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600004328,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,E,ACTIVE,,STD10,GEN,,,
dps.stu.04329,DronaStudent2026!,Yash,Thakkar,dps.stu.04329@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04329,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-E,GSEB,DPS,GUJ,STD11,ARTS,E,DPS26-04329,009,GR-DPS-2026-04329,2010-09-09,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800004329,,Service,Graduate,Thakkar Mother,+91-9700004329,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600004329,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,E,ACTIVE,,STD10,GEN,,,
dps.stu.04330,DronaStudent2026!,Kiara,Prajapati,dps.stu.04330@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04330,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-E,GSEB,DPS,GUJ,STD11,ARTS,E,DPS26-04330,010,GR-DPS-2026-04330,2010-10-10,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800004330,,Service,Graduate,Prajapati Mother,+91-9700004330,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600004330,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,E,ACTIVE,,STD10,GEN,,,
