username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.04366,DronaStudent2026!,Ira,Trivedi,dps.stu.04366@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04366,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-F,GSEB,DPS,GUJ,STD11,ARTS,F,DPS26-04366,001,GR-DPS-2026-04366,2010-10-19,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800004366,,Service,Graduate,Trivedi Mother,+91-9700004366,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600004366,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,F,ACTIVE,,STD10,GEN,,,
dps.stu.04367,DronaStudent2026!,Dhruv,Parmar,dps.stu.04367@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04367,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-F,GSEB,DPS,GUJ,STD11,ARTS,F,DPS26-04367,002,GR-DPS-2026-04367,2010-11-20,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800004367,,Service,Graduate,Parmar Mother,+91-9700004367,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600004367,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,F,ACTIVE,,STD10,GEN,,,
dps.stu.04368,DronaStudent2026!,Kavya,Solanki,dps.stu.04368@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04368,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-F,GSEB,DPS,GUJ,STD11,ARTS,F,DPS26-04368,003,GR-DPS-2026-04368,2010-12-21,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800004368,,Service,Graduate,Solanki Mother,+91-9700004368,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600004368,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,F,ACTIVE,,STD10,GEN,,,
dps.stu.04369,DronaStudent2026!,Atharv,Thakkar,dps.stu.04369@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04369,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-F,GSEB,DPS,GUJ,STD11,ARTS,F,DPS26-04369,004,GR-DPS-2026-04369,2010-01-22,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800004369,,Service,Graduate,Thakkar Mother,+91-9700004369,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600004369,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,F,ACTIVE,,STD10,GEN,,,
dps.stu.04370,DronaStudent2026!,Nisha,Prajapati,dps.stu.04370@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04370,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-F,GSEB,DPS,GUJ,STD11,ARTS,F,DPS26-04370,005,GR-DPS-2026-04370,2010-02-23,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800004370,,Service,Graduate,Prajapati Mother,+91-9700004370,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600004370,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,F,ACTIVE,,STD10,GEN,,,
dps.stu.04371,DronaStudent2026!,Parth,Chauhan,dps.stu.04371@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04371,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-F,GSEB,DPS,GUJ,STD11,ARTS,F,DPS26-04371,006,GR-DPS-2026-04371,2010-03-24,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Chauhan Father,+91-9800004371,,Service,Graduate,Chauhan Mother,+91-9700004371,,Homemaker,Graduate,,,,,,Chauhan Family,Parent,+91-9600004371,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,F,ACTIVE,,STD10,GEN,,,
dps.stu.04372,DronaStudent2026!,Jiya,Rathod,dps.stu.04372@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04372,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-F,GSEB,DPS,GUJ,STD11,ARTS,F,DPS26-04372,007,GR-DPS-2026-04372,2010-04-25,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Rathod Father,+91-9800004372,,Service,Graduate,Rathod Mother,+91-9700004372,,Homemaker,Graduate,,,,,,Rathod Family,Parent,+91-9600004372,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,F,ACTIVE,,STD10,GEN,,,
dps.stu.04373,DronaStudent2026!,Dev,Vyas,dps.stu.04373@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04373,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-F,GSEB,DPS,GUJ,STD11,ARTS,F,DPS26-04373,008,GR-DPS-2026-04373,2010-05-26,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Vyas Father,+91-9800004373,,Service,Graduate,Vyas Mother,+91-9700004373,,Homemaker,Graduate,,,,,,Vyas Family,Parent,+91-9600004373,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,F,ACTIVE,,STD10,GEN,,,
dps.stu.04374,DronaStudent2026!,Mahi,Dave,dps.stu.04374@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04374,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-F,GSEB,DPS,GUJ,STD11,ARTS,F,DPS26-04374,009,GR-DPS-2026-04374,2010-06-27,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Dave Father,+91-9800004374,,Service,Graduate,Dave Mother,+91-9700004374,,Homemaker,Graduate,,,,,,Dave Family,Parent,+91-9600004374,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,F,ACTIVE,,STD10,GEN,,,
dps.stu.04375,DronaStudent2026!,Neil,Bhatt,dps.stu.04375@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04375,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-ARTS-F,GSEB,DPS,GUJ,STD11,ARTS,F,DPS26-04375,010,GR-DPS-2026-04375,2010-07-01,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Bhatt Father,+91-9800004375,,Service,Graduate,Bhatt Mother,+91-9700004375,,Homemaker,Graduate,,,,,,Bhatt Family,Parent,+91-9600004375,,2026-2027,GSEB,DPS,GUJ,STD11,ARTS,F,ACTIVE,,STD10,GEN,,,
