username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.03871,DronaStudent2026!,Parth,Chauhan,dps.stu.03871@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03871,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-A,GSEB,DPS,GUJ,STD11,COM,A,DPS26-03871,001,GR-DPS-2026-03871,2010-07-10,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Chauhan Father,+91-9800003871,,Service,Graduate,Chauhan Mother,+91-9700003871,,Homemaker,Graduate,,,,,,Chauhan Family,Parent,+91-9600003871,,2026-2027,GSEB,DPS,GUJ,STD11,COM,A,ACTIVE,,STD10,GEN,,,
dps.stu.03872,DronaStudent2026!,Jiya,Rathod,dps.stu.03872@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03872,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-A,GSEB,DPS,GUJ,STD11,COM,A,DPS26-03872,002,GR-DPS-2026-03872,2010-08-11,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Rathod Father,+91-9800003872,,Service,Graduate,Rathod Mother,+91-9700003872,,Homemaker,Graduate,,,,,,Rathod Family,Parent,+91-9600003872,,2026-2027,GSEB,DPS,GUJ,STD11,COM,A,ACTIVE,,STD10,GEN,,,
dps.stu.03873,DronaStudent2026!,Dev,Vyas,dps.stu.03873@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03873,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-A,GSEB,DPS,GUJ,STD11,COM,A,DPS26-03873,003,GR-DPS-2026-03873,2010-09-12,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Vyas Father,+91-9800003873,,Service,Graduate,Vyas Mother,+91-9700003873,,Homemaker,Graduate,,,,,,Vyas Family,Parent,+91-9600003873,,2026-2027,GSEB,DPS,GUJ,STD11,COM,A,ACTIVE,,STD10,GEN,,,
dps.stu.03874,DronaStudent2026!,Mahi,Dave,dps.stu.03874@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03874,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-A,GSEB,DPS,GUJ,STD11,COM,A,DPS26-03874,004,GR-DPS-2026-03874,2010-10-13,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Dave Father,+91-9800003874,,Service,Graduate,Dave Mother,+91-9700003874,,Homemaker,Graduate,,,,,,Dave Family,Parent,+91-9600003874,,2026-2027,GSEB,DPS,GUJ,STD11,COM,A,ACTIVE,,STD10,GEN,,,
dps.stu.03875,DronaStudent2026!,Neil,Bhatt,dps.stu.03875@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03875,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-A,GSEB,DPS,GUJ,STD11,COM,A,DPS26-03875,005,GR-DPS-2026-03875,2010-11-14,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Bhatt Father,+91-9800003875,,Service,Graduate,Bhatt Mother,+91-9700003875,,Homemaker,Graduate,,,,,,Bhatt Family,Parent,+91-9600003875,,2026-2027,GSEB,DPS,GUJ,STD11,COM,A,ACTIVE,,STD10,GEN,,,
dps.stu.03876,DronaStudent2026!,Tara,Panchal,dps.stu.03876@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03876,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-A,GSEB,DPS,GUJ,STD11,COM,A,DPS26-03876,006,GR-DPS-2026-03876,2010-12-15,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Panchal Father,+91-9800003876,,Service,Graduate,Panchal Mother,+91-9700003876,,Homemaker,Graduate,,,,,,Panchal Family,Parent,+91-9600003876,,2026-2027,GSEB,DPS,GUJ,STD11,COM,A,ACTIVE,,STD10,GEN,,,
dps.stu.03877,DronaStudent2026!,Harsh,Makwana,dps.stu.03877@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03877,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-A,GSEB,DPS,GUJ,STD11,COM,A,DPS26-03877,007,GR-DPS-2026-03877,2010-01-16,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Makwana Father,+91-9800003877,,Service,Graduate,Makwana Mother,+91-9700003877,,Homemaker,Graduate,,,,,,Makwana Family,Parent,+91-9600003877,,2026-2027,GSEB,DPS,GUJ,STD11,COM,A,ACTIVE,,STD10,GEN,,,
dps.stu.03878,DronaStudent2026!,Aesha,Jadeja,dps.stu.03878@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03878,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-A,GSEB,DPS,GUJ,STD11,COM,A,DPS26-03878,008,GR-DPS-2026-03878,2010-02-17,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Jadeja Father,+91-9800003878,,Service,Graduate,Jadeja Mother,+91-9700003878,,Homemaker,Graduate,,,,,,Jadeja Family,Parent,+91-9600003878,,2026-2027,GSEB,DPS,GUJ,STD11,COM,A,ACTIVE,,STD10,GEN,,,
dps.stu.03879,DronaStudent2026!,Yash,Gohil,dps.stu.03879@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03879,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-A,GSEB,DPS,GUJ,STD11,COM,A,DPS26-03879,009,GR-DPS-2026-03879,2010-03-18,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Gohil Father,+91-9800003879,,Service,Graduate,Gohil Mother,+91-9700003879,,Homemaker,Graduate,,,,,,Gohil Family,Parent,+91-9600003879,,2026-2027,GSEB,DPS,GUJ,STD11,COM,A,ACTIVE,,STD10,GEN,,,
dps.stu.03880,DronaStudent2026!,Kiara,Barot,dps.stu.03880@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03880,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-A,GSEB,DPS,GUJ,STD11,COM,A,DPS26-03880,010,GR-DPS-2026-03880,2010-04-19,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Barot Father,+91-9800003880,,Service,Graduate,Barot Mother,+91-9700003880,,Homemaker,Graduate,,,,,,Barot Family,Parent,+91-9600003880,,2026-2027,GSEB,DPS,GUJ,STD11,COM,A,ACTIVE,,STD10,GEN,,,
