username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.03916,DronaStudent2026!,Ira,Panchal,dps.stu.03916@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03916,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-B,GSEB,DPS,GUJ,STD11,COM,B,DPS26-03916,001,GR-DPS-2026-03916,2010-04-01,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Panchal Father,+91-9800003916,,Service,Graduate,Panchal Mother,+91-9700003916,,Homemaker,Graduate,,,,,,Panchal Family,Parent,+91-9600003916,,2026-2027,GSEB,DPS,GUJ,STD11,COM,B,ACTIVE,,STD10,GEN,,,
dps.stu.03917,DronaStudent2026!,Dhruv,Makwana,dps.stu.03917@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03917,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-B,GSEB,DPS,GUJ,STD11,COM,B,DPS26-03917,002,GR-DPS-2026-03917,2010-05-02,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Makwana Father,+91-9800003917,,Service,Graduate,Makwana Mother,+91-9700003917,,Homemaker,Graduate,,,,,,Makwana Family,Parent,+91-9600003917,,2026-2027,GSEB,DPS,GUJ,STD11,COM,B,ACTIVE,,STD10,GEN,,,
dps.stu.03918,DronaStudent2026!,Kavya,Jadeja,dps.stu.03918@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03918,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-B,GSEB,DPS,GUJ,STD11,COM,B,DPS26-03918,003,GR-DPS-2026-03918,2010-06-03,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Jadeja Father,+91-9800003918,,Service,Graduate,Jadeja Mother,+91-9700003918,,Homemaker,Graduate,,,,,,Jadeja Family,Parent,+91-9600003918,,2026-2027,GSEB,DPS,GUJ,STD11,COM,B,ACTIVE,,STD10,GEN,,,
dps.stu.03919,DronaStudent2026!,Atharv,Gohil,dps.stu.03919@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03919,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-B,GSEB,DPS,GUJ,STD11,COM,B,DPS26-03919,004,GR-DPS-2026-03919,2010-07-04,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Gohil Father,+91-9800003919,,Service,Graduate,Gohil Mother,+91-9700003919,,Homemaker,Graduate,,,,,,Gohil Family,Parent,+91-9600003919,,2026-2027,GSEB,DPS,GUJ,STD11,COM,B,ACTIVE,,STD10,GEN,,,
dps.stu.03920,DronaStudent2026!,Nisha,Barot,dps.stu.03920@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03920,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-B,GSEB,DPS,GUJ,STD11,COM,B,DPS26-03920,005,GR-DPS-2026-03920,2010-08-05,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Barot Father,+91-9800003920,,Service,Graduate,Barot Mother,+91-9700003920,,Homemaker,Graduate,,,,,,Barot Family,Parent,+91-9600003920,,2026-2027,GSEB,DPS,GUJ,STD11,COM,B,ACTIVE,,STD10,GEN,,,
dps.stu.03921,DronaStudent2026!,Parth,Patel,dps.stu.03921@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03921,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-B,GSEB,DPS,GUJ,STD11,COM,B,DPS26-03921,006,GR-DPS-2026-03921,2010-09-06,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800003921,,Service,Graduate,Patel Mother,+91-9700003921,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600003921,,2026-2027,GSEB,DPS,GUJ,STD11,COM,B,ACTIVE,,STD10,GEN,,,
dps.stu.03922,DronaStudent2026!,Jiya,Shah,dps.stu.03922@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03922,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-B,GSEB,DPS,GUJ,STD11,COM,B,DPS26-03922,007,GR-DPS-2026-03922,2010-10-07,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800003922,,Service,Graduate,Shah Mother,+91-9700003922,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600003922,,2026-2027,GSEB,DPS,GUJ,STD11,COM,B,ACTIVE,,STD10,GEN,,,
dps.stu.03923,DronaStudent2026!,Dev,Desai,dps.stu.03923@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03923,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-B,GSEB,DPS,GUJ,STD11,COM,B,DPS26-03923,008,GR-DPS-2026-03923,2010-11-08,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800003923,,Service,Graduate,Desai Mother,+91-9700003923,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600003923,,2026-2027,GSEB,DPS,GUJ,STD11,COM,B,ACTIVE,,STD10,GEN,,,
dps.stu.03924,DronaStudent2026!,Mahi,Mehta,dps.stu.03924@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03924,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-B,GSEB,DPS,GUJ,STD11,COM,B,DPS26-03924,009,GR-DPS-2026-03924,2010-12-09,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800003924,,Service,Graduate,Mehta Mother,+91-9700003924,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600003924,,2026-2027,GSEB,DPS,GUJ,STD11,COM,B,ACTIVE,,STD10,GEN,,,
dps.stu.03925,DronaStudent2026!,Neil,Joshi,dps.stu.03925@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03925,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-B,GSEB,DPS,GUJ,STD11,COM,B,DPS26-03925,010,GR-DPS-2026-03925,2010-01-10,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800003925,,Service,Graduate,Joshi Mother,+91-9700003925,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600003925,,2026-2027,GSEB,DPS,GUJ,STD11,COM,B,ACTIVE,,STD10,GEN,,,
