username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.03961,DronaStudent2026!,Krish,Patel,dps.stu.03961@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03961,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-C,GSEB,DPS,GUJ,STD11,COM,C,DPS26-03961,001,GR-DPS-2026-03961,2010-01-19,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800003961,,Service,Graduate,Patel Mother,+91-9700003961,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600003961,,2026-2027,GSEB,DPS,GUJ,STD11,COM,C,ACTIVE,,STD10,GEN,,,
dps.stu.03962,DronaStudent2026!,Riya,Shah,dps.stu.03962@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03962,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-C,GSEB,DPS,GUJ,STD11,COM,C,DPS26-03962,002,GR-DPS-2026-03962,2010-02-20,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800003962,,Service,Graduate,Shah Mother,+91-9700003962,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600003962,,2026-2027,GSEB,DPS,GUJ,STD11,COM,C,ACTIVE,,STD10,GEN,,,
dps.stu.03963,DronaStudent2026!,Arjun,Desai,dps.stu.03963@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03963,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-C,GSEB,DPS,GUJ,STD11,COM,C,DPS26-03963,003,GR-DPS-2026-03963,2010-03-21,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800003963,,Service,Graduate,Desai Mother,+91-9700003963,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600003963,,2026-2027,GSEB,DPS,GUJ,STD11,COM,C,ACTIVE,,STD10,GEN,,,
dps.stu.03964,DronaStudent2026!,Avni,Mehta,dps.stu.03964@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03964,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-C,GSEB,DPS,GUJ,STD11,COM,C,DPS26-03964,004,GR-DPS-2026-03964,2010-04-22,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800003964,,Service,Graduate,Mehta Mother,+91-9700003964,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600003964,,2026-2027,GSEB,DPS,GUJ,STD11,COM,C,ACTIVE,,STD10,GEN,,,
dps.stu.03965,DronaStudent2026!,Vivaan,Joshi,dps.stu.03965@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03965,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-C,GSEB,DPS,GUJ,STD11,COM,C,DPS26-03965,005,GR-DPS-2026-03965,2010-05-23,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800003965,,Service,Graduate,Joshi Mother,+91-9700003965,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600003965,,2026-2027,GSEB,DPS,GUJ,STD11,COM,C,ACTIVE,,STD10,GEN,,,
dps.stu.03966,DronaStudent2026!,Ira,Trivedi,dps.stu.03966@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03966,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-C,GSEB,DPS,GUJ,STD11,COM,C,DPS26-03966,006,GR-DPS-2026-03966,2010-06-24,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800003966,,Service,Graduate,Trivedi Mother,+91-9700003966,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600003966,,2026-2027,GSEB,DPS,GUJ,STD11,COM,C,ACTIVE,,STD10,GEN,,,
dps.stu.03967,DronaStudent2026!,Dhruv,Parmar,dps.stu.03967@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03967,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-C,GSEB,DPS,GUJ,STD11,COM,C,DPS26-03967,007,GR-DPS-2026-03967,2010-07-25,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800003967,,Service,Graduate,Parmar Mother,+91-9700003967,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600003967,,2026-2027,GSEB,DPS,GUJ,STD11,COM,C,ACTIVE,,STD10,GEN,,,
dps.stu.03968,DronaStudent2026!,Kavya,Solanki,dps.stu.03968@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03968,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-C,GSEB,DPS,GUJ,STD11,COM,C,DPS26-03968,008,GR-DPS-2026-03968,2010-08-26,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800003968,,Service,Graduate,Solanki Mother,+91-9700003968,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600003968,,2026-2027,GSEB,DPS,GUJ,STD11,COM,C,ACTIVE,,STD10,GEN,,,
dps.stu.03969,DronaStudent2026!,Atharv,Thakkar,dps.stu.03969@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03969,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-C,GSEB,DPS,GUJ,STD11,COM,C,DPS26-03969,009,GR-DPS-2026-03969,2010-09-27,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800003969,,Service,Graduate,Thakkar Mother,+91-9700003969,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600003969,,2026-2027,GSEB,DPS,GUJ,STD11,COM,C,ACTIVE,,STD10,GEN,,,
dps.stu.03970,DronaStudent2026!,Nisha,Prajapati,dps.stu.03970@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03970,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-COM-C,GSEB,DPS,GUJ,STD11,COM,C,DPS26-03970,010,GR-DPS-2026-03970,2010-10-01,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800003970,,Service,Graduate,Prajapati Mother,+91-9700003970,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600003970,,2026-2027,GSEB,DPS,GUJ,STD11,COM,C,ACTIVE,,STD10,GEN,,,
