username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.03646,DronaStudent2026!,Aarohi,Trivedi,dps.stu.03646@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03646,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-B,GSEB,DPS,GUJ,STD11,SCI,B,DPS26-03646,001,GR-DPS-2026-03646,2010-10-01,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800003646,,Service,Graduate,Trivedi Mother,+91-9700003646,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600003646,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,B,ACTIVE,,STD10,GEN,,,
dps.stu.03647,DronaStudent2026!,Samarth,Parmar,dps.stu.03647@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03647,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-B,GSEB,DPS,GUJ,STD11,SCI,B,DPS26-03647,002,GR-DPS-2026-03647,2010-11-02,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800003647,,Service,Graduate,Parmar Mother,+91-9700003647,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600003647,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,B,ACTIVE,,STD10,GEN,,,
dps.stu.03648,DronaStudent2026!,Tanvi,Solanki,dps.stu.03648@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03648,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-B,GSEB,DPS,GUJ,STD11,SCI,B,DPS26-03648,003,GR-DPS-2026-03648,2010-12-03,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800003648,,Service,Graduate,Solanki Mother,+91-9700003648,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600003648,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,B,ACTIVE,,STD10,GEN,,,
dps.stu.03649,DronaStudent2026!,Rohan,Thakkar,dps.stu.03649@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03649,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-B,GSEB,DPS,GUJ,STD11,SCI,B,DPS26-03649,004,GR-DPS-2026-03649,2010-01-04,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800003649,,Service,Graduate,Thakkar Mother,+91-9700003649,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600003649,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,B,ACTIVE,,STD10,GEN,,,
dps.stu.03650,DronaStudent2026!,Bhakti,Prajapati,dps.stu.03650@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03650,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-B,GSEB,DPS,GUJ,STD11,SCI,B,DPS26-03650,005,GR-DPS-2026-03650,2010-02-05,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800003650,,Service,Graduate,Prajapati Mother,+91-9700003650,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600003650,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,B,ACTIVE,,STD10,GEN,,,
dps.stu.03651,DronaStudent2026!,Aarav,Chauhan,dps.stu.03651@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03651,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-B,GSEB,DPS,GUJ,STD11,SCI,B,DPS26-03651,006,GR-DPS-2026-03651,2010-03-06,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Chauhan Father,+91-9800003651,,Service,Graduate,Chauhan Mother,+91-9700003651,,Homemaker,Graduate,,,,,,Chauhan Family,Parent,+91-9600003651,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,B,ACTIVE,,STD10,GEN,,,
dps.stu.03652,DronaStudent2026!,Aditi,Rathod,dps.stu.03652@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03652,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-B,GSEB,DPS,GUJ,STD11,SCI,B,DPS26-03652,007,GR-DPS-2026-03652,2010-04-07,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Rathod Father,+91-9800003652,,Service,Graduate,Rathod Mother,+91-9700003652,,Homemaker,Graduate,,,,,,Rathod Family,Parent,+91-9600003652,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,B,ACTIVE,,STD10,GEN,,,
dps.stu.03653,DronaStudent2026!,Vihaan,Vyas,dps.stu.03653@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03653,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-B,GSEB,DPS,GUJ,STD11,SCI,B,DPS26-03653,008,GR-DPS-2026-03653,2010-05-08,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Vyas Father,+91-9800003653,,Service,Graduate,Vyas Mother,+91-9700003653,,Homemaker,Graduate,,,,,,Vyas Family,Parent,+91-9600003653,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,B,ACTIVE,,STD10,GEN,,,
dps.stu.03654,DronaStudent2026!,Ananya,Dave,dps.stu.03654@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03654,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-B,GSEB,DPS,GUJ,STD11,SCI,B,DPS26-03654,009,GR-DPS-2026-03654,2010-06-09,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Dave Father,+91-9800003654,,Service,Graduate,Dave Mother,+91-9700003654,,Homemaker,Graduate,,,,,,Dave Family,Parent,+91-9600003654,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,B,ACTIVE,,STD10,GEN,,,
dps.stu.03655,DronaStudent2026!,Ishaan,Bhatt,dps.stu.03655@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03655,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-B,GSEB,DPS,GUJ,STD11,SCI,B,DPS26-03655,010,GR-DPS-2026-03655,2010-07-10,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Bhatt Father,+91-9800003655,,Service,Graduate,Bhatt Mother,+91-9700003655,,Homemaker,Graduate,,,,,,Bhatt Family,Parent,+91-9600003655,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,B,ACTIVE,,STD10,GEN,,,
