username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.03691,DronaStudent2026!,Darsh,Chauhan,dps.stu.03691@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03691,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-C,GSEB,DPS,GUJ,STD11,SCI,C,DPS26-03691,001,GR-DPS-2026-03691,2010-07-19,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Chauhan Father,+91-9800003691,,Service,Graduate,Chauhan Mother,+91-9700003691,,Homemaker,Graduate,,,,,,Chauhan Family,Parent,+91-9600003691,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,C,ACTIVE,,STD10,GEN,,,
dps.stu.03692,DronaStudent2026!,Khushi,Rathod,dps.stu.03692@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03692,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-C,GSEB,DPS,GUJ,STD11,SCI,C,DPS26-03692,002,GR-DPS-2026-03692,2010-08-20,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Rathod Father,+91-9800003692,,Service,Graduate,Rathod Mother,+91-9700003692,,Homemaker,Graduate,,,,,,Rathod Family,Parent,+91-9600003692,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,C,ACTIVE,,STD10,GEN,,,
dps.stu.03693,DronaStudent2026!,Ved,Vyas,dps.stu.03693@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03693,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-C,GSEB,DPS,GUJ,STD11,SCI,C,DPS26-03693,003,GR-DPS-2026-03693,2010-09-21,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Vyas Father,+91-9800003693,,Service,Graduate,Vyas Mother,+91-9700003693,,Homemaker,Graduate,,,,,,Vyas Family,Parent,+91-9600003693,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,C,ACTIVE,,STD10,GEN,,,
dps.stu.03694,DronaStudent2026!,Niyati,Dave,dps.stu.03694@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03694,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-C,GSEB,DPS,GUJ,STD11,SCI,C,DPS26-03694,004,GR-DPS-2026-03694,2010-10-22,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Dave Father,+91-9800003694,,Service,Graduate,Dave Mother,+91-9700003694,,Homemaker,Graduate,,,,,,Dave Family,Parent,+91-9600003694,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,C,ACTIVE,,STD10,GEN,,,
dps.stu.03695,DronaStudent2026!,Jay,Bhatt,dps.stu.03695@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03695,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-C,GSEB,DPS,GUJ,STD11,SCI,C,DPS26-03695,005,GR-DPS-2026-03695,2010-11-23,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Bhatt Father,+91-9800003695,,Service,Graduate,Bhatt Mother,+91-9700003695,,Homemaker,Graduate,,,,,,Bhatt Family,Parent,+91-9600003695,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,C,ACTIVE,,STD10,GEN,,,
dps.stu.03696,DronaStudent2026!,Aarohi,Panchal,dps.stu.03696@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03696,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-C,GSEB,DPS,GUJ,STD11,SCI,C,DPS26-03696,006,GR-DPS-2026-03696,2010-12-24,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Panchal Father,+91-9800003696,,Service,Graduate,Panchal Mother,+91-9700003696,,Homemaker,Graduate,,,,,,Panchal Family,Parent,+91-9600003696,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,C,ACTIVE,,STD10,GEN,,,
dps.stu.03697,DronaStudent2026!,Samarth,Makwana,dps.stu.03697@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03697,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-C,GSEB,DPS,GUJ,STD11,SCI,C,DPS26-03697,007,GR-DPS-2026-03697,2010-01-25,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Makwana Father,+91-9800003697,,Service,Graduate,Makwana Mother,+91-9700003697,,Homemaker,Graduate,,,,,,Makwana Family,Parent,+91-9600003697,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,C,ACTIVE,,STD10,GEN,,,
dps.stu.03698,DronaStudent2026!,Tanvi,Jadeja,dps.stu.03698@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03698,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-C,GSEB,DPS,GUJ,STD11,SCI,C,DPS26-03698,008,GR-DPS-2026-03698,2010-02-26,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Jadeja Father,+91-9800003698,,Service,Graduate,Jadeja Mother,+91-9700003698,,Homemaker,Graduate,,,,,,Jadeja Family,Parent,+91-9600003698,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,C,ACTIVE,,STD10,GEN,,,
dps.stu.03699,DronaStudent2026!,Rohan,Gohil,dps.stu.03699@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03699,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-C,GSEB,DPS,GUJ,STD11,SCI,C,DPS26-03699,009,GR-DPS-2026-03699,2010-03-27,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Gohil Father,+91-9800003699,,Service,Graduate,Gohil Mother,+91-9700003699,,Homemaker,Graduate,,,,,,Gohil Family,Parent,+91-9600003699,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,C,ACTIVE,,STD10,GEN,,,
dps.stu.03700,DronaStudent2026!,Bhakti,Barot,dps.stu.03700@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03700,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-C,GSEB,DPS,GUJ,STD11,SCI,C,DPS26-03700,010,GR-DPS-2026-03700,2010-04-01,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Barot Father,+91-9800003700,,Service,Graduate,Barot Mother,+91-9700003700,,Homemaker,Graduate,,,,,,Barot Family,Parent,+91-9600003700,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,C,ACTIVE,,STD10,GEN,,,
