username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.03781,DronaStudent2026!,Rudra,Patel,dps.stu.03781@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03781,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-E,GSEB,DPS,GUJ,STD11,SCI,E,DPS26-03781,001,GR-DPS-2026-03781,2010-01-01,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800003781,,Service,Graduate,Patel Mother,+91-9700003781,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600003781,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,E,ACTIVE,,STD10,GEN,,,
dps.stu.03782,DronaStudent2026!,Janvi,Shah,dps.stu.03782@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03782,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-E,GSEB,DPS,GUJ,STD11,SCI,E,DPS26-03782,002,GR-DPS-2026-03782,2010-02-02,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800003782,,Service,Graduate,Shah Mother,+91-9700003782,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600003782,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,E,ACTIVE,,STD10,GEN,,,
dps.stu.03783,DronaStudent2026!,Om,Desai,dps.stu.03783@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03783,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-E,GSEB,DPS,GUJ,STD11,SCI,E,DPS26-03783,003,GR-DPS-2026-03783,2010-03-03,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800003783,,Service,Graduate,Desai Mother,+91-9700003783,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600003783,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,E,ACTIVE,,STD10,GEN,,,
dps.stu.03784,DronaStudent2026!,Pihu,Mehta,dps.stu.03784@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03784,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-E,GSEB,DPS,GUJ,STD11,SCI,E,DPS26-03784,004,GR-DPS-2026-03784,2010-04-04,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800003784,,Service,Graduate,Mehta Mother,+91-9700003784,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600003784,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,E,ACTIVE,,STD10,GEN,,,
dps.stu.03785,DronaStudent2026!,Manan,Joshi,dps.stu.03785@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03785,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-E,GSEB,DPS,GUJ,STD11,SCI,E,DPS26-03785,005,GR-DPS-2026-03785,2010-05-05,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800003785,,Service,Graduate,Joshi Mother,+91-9700003785,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600003785,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,E,ACTIVE,,STD10,GEN,,,
dps.stu.03786,DronaStudent2026!,Hetvi,Trivedi,dps.stu.03786@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03786,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-E,GSEB,DPS,GUJ,STD11,SCI,E,DPS26-03786,006,GR-DPS-2026-03786,2010-06-06,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800003786,,Service,Graduate,Trivedi Mother,+91-9700003786,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600003786,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,E,ACTIVE,,STD10,GEN,,,
dps.stu.03787,DronaStudent2026!,Aryan,Parmar,dps.stu.03787@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03787,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-E,GSEB,DPS,GUJ,STD11,SCI,E,DPS26-03787,007,GR-DPS-2026-03787,2010-07-07,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800003787,,Service,Graduate,Parmar Mother,+91-9700003787,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600003787,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,E,ACTIVE,,STD10,GEN,,,
dps.stu.03788,DronaStudent2026!,Prisha,Solanki,dps.stu.03788@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03788,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-E,GSEB,DPS,GUJ,STD11,SCI,E,DPS26-03788,008,GR-DPS-2026-03788,2010-08-08,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800003788,,Service,Graduate,Solanki Mother,+91-9700003788,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600003788,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,E,ACTIVE,,STD10,GEN,,,
dps.stu.03789,DronaStudent2026!,Shaurya,Thakkar,dps.stu.03789@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03789,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-E,GSEB,DPS,GUJ,STD11,SCI,E,DPS26-03789,009,GR-DPS-2026-03789,2010-09-09,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800003789,,Service,Graduate,Thakkar Mother,+91-9700003789,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600003789,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,E,ACTIVE,,STD10,GEN,,,
dps.stu.03790,DronaStudent2026!,Riddhi,Prajapati,dps.stu.03790@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03790,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-E,GSEB,DPS,GUJ,STD11,SCI,E,DPS26-03790,010,GR-DPS-2026-03790,2010-10-10,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800003790,,Service,Graduate,Prajapati Mother,+91-9700003790,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600003790,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,E,ACTIVE,,STD10,GEN,,,
