username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.03826,DronaStudent2026!,Tara,Trivedi,dps.stu.03826@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03826,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-F,GSEB,DPS,GUJ,STD11,SCI,F,DPS26-03826,001,GR-DPS-2026-03826,2010-10-19,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800003826,,Service,Graduate,Trivedi Mother,+91-9700003826,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600003826,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,F,ACTIVE,,STD10,GEN,,,
dps.stu.03827,DronaStudent2026!,Harsh,Parmar,dps.stu.03827@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03827,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-F,GSEB,DPS,GUJ,STD11,SCI,F,DPS26-03827,002,GR-DPS-2026-03827,2010-11-20,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800003827,,Service,Graduate,Parmar Mother,+91-9700003827,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600003827,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,F,ACTIVE,,STD10,GEN,,,
dps.stu.03828,DronaStudent2026!,Aesha,Solanki,dps.stu.03828@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03828,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-F,GSEB,DPS,GUJ,STD11,SCI,F,DPS26-03828,003,GR-DPS-2026-03828,2010-12-21,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800003828,,Service,Graduate,Solanki Mother,+91-9700003828,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600003828,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,F,ACTIVE,,STD10,GEN,,,
dps.stu.03829,DronaStudent2026!,Yash,Thakkar,dps.stu.03829@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03829,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-F,GSEB,DPS,GUJ,STD11,SCI,F,DPS26-03829,004,GR-DPS-2026-03829,2010-01-22,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800003829,,Service,Graduate,Thakkar Mother,+91-9700003829,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600003829,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,F,ACTIVE,,STD10,GEN,,,
dps.stu.03830,DronaStudent2026!,Kiara,Prajapati,dps.stu.03830@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03830,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-F,GSEB,DPS,GUJ,STD11,SCI,F,DPS26-03830,005,GR-DPS-2026-03830,2010-02-23,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800003830,,Service,Graduate,Prajapati Mother,+91-9700003830,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600003830,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,F,ACTIVE,,STD10,GEN,,,
dps.stu.03831,DronaStudent2026!,Rudra,Chauhan,dps.stu.03831@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03831,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-F,GSEB,DPS,GUJ,STD11,SCI,F,DPS26-03831,006,GR-DPS-2026-03831,2010-03-24,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Chauhan Father,+91-9800003831,,Service,Graduate,Chauhan Mother,+91-9700003831,,Homemaker,Graduate,,,,,,Chauhan Family,Parent,+91-9600003831,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,F,ACTIVE,,STD10,GEN,,,
dps.stu.03832,DronaStudent2026!,Janvi,Rathod,dps.stu.03832@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03832,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-F,GSEB,DPS,GUJ,STD11,SCI,F,DPS26-03832,007,GR-DPS-2026-03832,2010-04-25,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Rathod Father,+91-9800003832,,Service,Graduate,Rathod Mother,+91-9700003832,,Homemaker,Graduate,,,,,,Rathod Family,Parent,+91-9600003832,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,F,ACTIVE,,STD10,GEN,,,
dps.stu.03833,DronaStudent2026!,Om,Vyas,dps.stu.03833@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03833,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-F,GSEB,DPS,GUJ,STD11,SCI,F,DPS26-03833,008,GR-DPS-2026-03833,2010-05-26,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Vyas Father,+91-9800003833,,Service,Graduate,Vyas Mother,+91-9700003833,,Homemaker,Graduate,,,,,,Vyas Family,Parent,+91-9600003833,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,F,ACTIVE,,STD10,GEN,,,
dps.stu.03834,DronaStudent2026!,Pihu,Dave,dps.stu.03834@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03834,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-F,GSEB,DPS,GUJ,STD11,SCI,F,DPS26-03834,009,GR-DPS-2026-03834,2010-06-27,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Dave Father,+91-9800003834,,Service,Graduate,Dave Mother,+91-9700003834,,Homemaker,Graduate,,,,,,Dave Family,Parent,+91-9600003834,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,F,ACTIVE,,STD10,GEN,,,
dps.stu.03835,DronaStudent2026!,Manan,Bhatt,dps.stu.03835@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-03835,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD11-SCI-F,GSEB,DPS,GUJ,STD11,SCI,F,DPS26-03835,010,GR-DPS-2026-03835,2010-07-01,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Bhatt Father,+91-9800003835,,Service,Graduate,Bhatt Mother,+91-9700003835,,Homemaker,Graduate,,,,,,Bhatt Family,Parent,+91-9600003835,,2026-2027,GSEB,DPS,GUJ,STD11,SCI,F,ACTIVE,,STD10,GEN,,,
