username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.04951,DronaStudent2026!,Aarav,Chauhan,dps.stu.04951@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04951,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-A,GSEB,DPS,GUJ,STD12,ARTS,A,DPS26-04951,001,GR-DPS-2026-04951,2009-07-10,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Chauhan Father,+91-9800004951,,Service,Graduate,Chauhan Mother,+91-9700004951,,Homemaker,Graduate,,,,,,Chauhan Family,Parent,+91-9600004951,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,A,ACTIVE,,STD11,GEN,,,
dps.stu.04952,DronaStudent2026!,Aditi,Rathod,dps.stu.04952@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04952,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-A,GSEB,DPS,GUJ,STD12,ARTS,A,DPS26-04952,002,GR-DPS-2026-04952,2009-08-11,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Rathod Father,+91-9800004952,,Service,Graduate,Rathod Mother,+91-9700004952,,Homemaker,Graduate,,,,,,Rathod Family,Parent,+91-9600004952,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,A,ACTIVE,,STD11,GEN,,,
dps.stu.04953,DronaStudent2026!,Vihaan,Vyas,dps.stu.04953@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04953,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-A,GSEB,DPS,GUJ,STD12,ARTS,A,DPS26-04953,003,GR-DPS-2026-04953,2009-09-12,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Vyas Father,+91-9800004953,,Service,Graduate,Vyas Mother,+91-9700004953,,Homemaker,Graduate,,,,,,Vyas Family,Parent,+91-9600004953,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,A,ACTIVE,,STD11,GEN,,,
dps.stu.04954,DronaStudent2026!,Ananya,Dave,dps.stu.04954@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04954,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-A,GSEB,DPS,GUJ,STD12,ARTS,A,DPS26-04954,004,GR-DPS-2026-04954,2009-10-13,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Dave Father,+91-9800004954,,Service,Graduate,Dave Mother,+91-9700004954,,Homemaker,Graduate,,,,,,Dave Family,Parent,+91-9600004954,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,A,ACTIVE,,STD11,GEN,,,
dps.stu.04955,DronaStudent2026!,Ishaan,Bhatt,dps.stu.04955@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04955,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-A,GSEB,DPS,GUJ,STD12,ARTS,A,DPS26-04955,005,GR-DPS-2026-04955,2009-11-14,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Bhatt Father,+91-9800004955,,Service,Graduate,Bhatt Mother,+91-9700004955,,Homemaker,Graduate,,,,,,Bhatt Family,Parent,+91-9600004955,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,A,ACTIVE,,STD11,GEN,,,
dps.stu.04956,DronaStudent2026!,Diya,Panchal,dps.stu.04956@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04956,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-A,GSEB,DPS,GUJ,STD12,ARTS,A,DPS26-04956,006,GR-DPS-2026-04956,2009-12-15,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Panchal Father,+91-9800004956,,Service,Graduate,Panchal Mother,+91-9700004956,,Homemaker,Graduate,,,,,,Panchal Family,Parent,+91-9600004956,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,A,ACTIVE,,STD11,GEN,,,
dps.stu.04957,DronaStudent2026!,Kabir,Makwana,dps.stu.04957@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04957,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-A,GSEB,DPS,GUJ,STD12,ARTS,A,DPS26-04957,007,GR-DPS-2026-04957,2009-01-16,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Makwana Father,+91-9800004957,,Service,Graduate,Makwana Mother,+91-9700004957,,Homemaker,Graduate,,,,,,Makwana Family,Parent,+91-9600004957,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,A,ACTIVE,,STD11,GEN,,,
dps.stu.04958,DronaStudent2026!,Myra,Jadeja,dps.stu.04958@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04958,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-A,GSEB,DPS,GUJ,STD12,ARTS,A,DPS26-04958,008,GR-DPS-2026-04958,2009-02-17,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Jadeja Father,+91-9800004958,,Service,Graduate,Jadeja Mother,+91-9700004958,,Homemaker,Graduate,,,,,,Jadeja Family,Parent,+91-9600004958,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,A,ACTIVE,,STD11,GEN,,,
dps.stu.04959,DronaStudent2026!,Reyansh,Gohil,dps.stu.04959@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04959,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-A,GSEB,DPS,GUJ,STD12,ARTS,A,DPS26-04959,009,GR-DPS-2026-04959,2009-03-18,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Gohil Father,+91-9800004959,,Service,Graduate,Gohil Mother,+91-9700004959,,Homemaker,Graduate,,,,,,Gohil Family,Parent,+91-9600004959,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,A,ACTIVE,,STD11,GEN,,,
dps.stu.04960,DronaStudent2026!,Saanvi,Barot,dps.stu.04960@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04960,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-A,GSEB,DPS,GUJ,STD12,ARTS,A,DPS26-04960,010,GR-DPS-2026-04960,2009-04-19,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Barot Father,+91-9800004960,,Service,Graduate,Barot Mother,+91-9700004960,,Homemaker,Graduate,,,,,,Barot Family,Parent,+91-9600004960,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,A,ACTIVE,,STD11,GEN,,,
