username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.04996,DronaStudent2026!,Aarohi,Panchal,dps.stu.04996@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04996,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-B,GSEB,DPS,GUJ,STD12,ARTS,B,DPS26-04996,001,GR-DPS-2026-04996,2009-04-01,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Panchal Father,+91-9800004996,,Service,Graduate,Panchal Mother,+91-9700004996,,Homemaker,Graduate,,,,,,Panchal Family,Parent,+91-9600004996,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,B,ACTIVE,,STD11,GEN,,,
dps.stu.04997,DronaStudent2026!,Samarth,Makwana,dps.stu.04997@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04997,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-B,GSEB,DPS,GUJ,STD12,ARTS,B,DPS26-04997,002,GR-DPS-2026-04997,2009-05-02,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Makwana Father,+91-9800004997,,Service,Graduate,Makwana Mother,+91-9700004997,,Homemaker,Graduate,,,,,,Makwana Family,Parent,+91-9600004997,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,B,ACTIVE,,STD11,GEN,,,
dps.stu.04998,DronaStudent2026!,Tanvi,Jadeja,dps.stu.04998@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04998,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-B,GSEB,DPS,GUJ,STD12,ARTS,B,DPS26-04998,003,GR-DPS-2026-04998,2009-06-03,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Jadeja Father,+91-9800004998,,Service,Graduate,Jadeja Mother,+91-9700004998,,Homemaker,Graduate,,,,,,Jadeja Family,Parent,+91-9600004998,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,B,ACTIVE,,STD11,GEN,,,
dps.stu.04999,DronaStudent2026!,Rohan,Gohil,dps.stu.04999@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04999,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-B,GSEB,DPS,GUJ,STD12,ARTS,B,DPS26-04999,004,GR-DPS-2026-04999,2009-07-04,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Gohil Father,+91-9800004999,,Service,Graduate,Gohil Mother,+91-9700004999,,Homemaker,Graduate,,,,,,Gohil Family,Parent,+91-9600004999,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,B,ACTIVE,,STD11,GEN,,,
dps.stu.05000,DronaStudent2026!,Bhakti,Barot,dps.stu.05000@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05000,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-B,GSEB,DPS,GUJ,STD12,ARTS,B,DPS26-05000,005,GR-DPS-2026-05000,2009-08-05,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Barot Father,+91-9800005000,,Service,Graduate,Barot Mother,+91-9700005000,,Homemaker,Graduate,,,,,,Barot Family,Parent,+91-9600005000,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,B,ACTIVE,,STD11,GEN,,,
dps.stu.05001,DronaStudent2026!,Aarav,Patel,dps.stu.05001@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05001,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-B,GSEB,DPS,GUJ,STD12,ARTS,B,DPS26-05001,006,GR-DPS-2026-05001,2009-09-06,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800005001,,Service,Graduate,Patel Mother,+91-9700005001,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600005001,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,B,ACTIVE,,STD11,GEN,,,
dps.stu.05002,DronaStudent2026!,Aditi,Shah,dps.stu.05002@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05002,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-B,GSEB,DPS,GUJ,STD12,ARTS,B,DPS26-05002,007,GR-DPS-2026-05002,2009-10-07,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800005002,,Service,Graduate,Shah Mother,+91-9700005002,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600005002,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,B,ACTIVE,,STD11,GEN,,,
dps.stu.05003,DronaStudent2026!,Vihaan,Desai,dps.stu.05003@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05003,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-B,GSEB,DPS,GUJ,STD12,ARTS,B,DPS26-05003,008,GR-DPS-2026-05003,2009-11-08,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800005003,,Service,Graduate,Desai Mother,+91-9700005003,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600005003,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,B,ACTIVE,,STD11,GEN,,,
dps.stu.05004,DronaStudent2026!,Ananya,Mehta,dps.stu.05004@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05004,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-B,GSEB,DPS,GUJ,STD12,ARTS,B,DPS26-05004,009,GR-DPS-2026-05004,2009-12-09,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800005004,,Service,Graduate,Mehta Mother,+91-9700005004,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600005004,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,B,ACTIVE,,STD11,GEN,,,
dps.stu.05005,DronaStudent2026!,Ishaan,Joshi,dps.stu.05005@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05005,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-B,GSEB,DPS,GUJ,STD12,ARTS,B,DPS26-05005,010,GR-DPS-2026-05005,2009-01-10,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800005005,,Service,Graduate,Joshi Mother,+91-9700005005,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600005005,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,B,ACTIVE,,STD11,GEN,,,
