username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.05041,DronaStudent2026!,Darsh,Patel,dps.stu.05041@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05041,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-C,GSEB,DPS,GUJ,STD12,ARTS,C,DPS26-05041,001,GR-DPS-2026-05041,2009-01-19,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800005041,,Service,Graduate,Patel Mother,+91-9700005041,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600005041,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,C,ACTIVE,,STD11,GEN,,,
dps.stu.05042,DronaStudent2026!,Khushi,Shah,dps.stu.05042@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05042,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-C,GSEB,DPS,GUJ,STD12,ARTS,C,DPS26-05042,002,GR-DPS-2026-05042,2009-02-20,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800005042,,Service,Graduate,Shah Mother,+91-9700005042,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600005042,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,C,ACTIVE,,STD11,GEN,,,
dps.stu.05043,DronaStudent2026!,Ved,Desai,dps.stu.05043@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05043,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-C,GSEB,DPS,GUJ,STD12,ARTS,C,DPS26-05043,003,GR-DPS-2026-05043,2009-03-21,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800005043,,Service,Graduate,Desai Mother,+91-9700005043,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600005043,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,C,ACTIVE,,STD11,GEN,,,
dps.stu.05044,DronaStudent2026!,Niyati,Mehta,dps.stu.05044@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05044,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-C,GSEB,DPS,GUJ,STD12,ARTS,C,DPS26-05044,004,GR-DPS-2026-05044,2009-04-22,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800005044,,Service,Graduate,Mehta Mother,+91-9700005044,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600005044,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,C,ACTIVE,,STD11,GEN,,,
dps.stu.05045,DronaStudent2026!,Jay,Joshi,dps.stu.05045@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05045,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-C,GSEB,DPS,GUJ,STD12,ARTS,C,DPS26-05045,005,GR-DPS-2026-05045,2009-05-23,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800005045,,Service,Graduate,Joshi Mother,+91-9700005045,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600005045,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,C,ACTIVE,,STD11,GEN,,,
dps.stu.05046,DronaStudent2026!,Aarohi,Trivedi,dps.stu.05046@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05046,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-C,GSEB,DPS,GUJ,STD12,ARTS,C,DPS26-05046,006,GR-DPS-2026-05046,2009-06-24,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800005046,,Service,Graduate,Trivedi Mother,+91-9700005046,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600005046,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,C,ACTIVE,,STD11,GEN,,,
dps.stu.05047,DronaStudent2026!,Samarth,Parmar,dps.stu.05047@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05047,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-C,GSEB,DPS,GUJ,STD12,ARTS,C,DPS26-05047,007,GR-DPS-2026-05047,2009-07-25,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800005047,,Service,Graduate,Parmar Mother,+91-9700005047,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600005047,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,C,ACTIVE,,STD11,GEN,,,
dps.stu.05048,DronaStudent2026!,Tanvi,Solanki,dps.stu.05048@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05048,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-C,GSEB,DPS,GUJ,STD12,ARTS,C,DPS26-05048,008,GR-DPS-2026-05048,2009-08-26,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800005048,,Service,Graduate,Solanki Mother,+91-9700005048,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600005048,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,C,ACTIVE,,STD11,GEN,,,
dps.stu.05049,DronaStudent2026!,Rohan,Thakkar,dps.stu.05049@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05049,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-C,GSEB,DPS,GUJ,STD12,ARTS,C,DPS26-05049,009,GR-DPS-2026-05049,2009-09-27,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800005049,,Service,Graduate,Thakkar Mother,+91-9700005049,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600005049,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,C,ACTIVE,,STD11,GEN,,,
dps.stu.05050,DronaStudent2026!,Bhakti,Prajapati,dps.stu.05050@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-05050,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-ARTS-C,GSEB,DPS,GUJ,STD12,ARTS,C,DPS26-05050,010,GR-DPS-2026-05050,2009-10-01,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800005050,,Service,Graduate,Prajapati Mother,+91-9700005050,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600005050,,2026-2027,GSEB,DPS,GUJ,STD12,ARTS,C,ACTIVE,,STD11,GEN,,,
