username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.04816,DronaStudent2026!,Ira,Panchal,dps.stu.04816@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04816,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-D,GSEB,DPS,GUJ,STD12,COM,D,DPS26-04816,001,GR-DPS-2026-04816,2009-04-10,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Panchal Father,+91-9800004816,,Service,Graduate,Panchal Mother,+91-9700004816,,Homemaker,Graduate,,,,,,Panchal Family,Parent,+91-9600004816,,2026-2027,GSEB,DPS,GUJ,STD12,COM,D,ACTIVE,,STD11,GEN,,,
dps.stu.04817,DronaStudent2026!,Dhruv,Makwana,dps.stu.04817@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04817,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-D,GSEB,DPS,GUJ,STD12,COM,D,DPS26-04817,002,GR-DPS-2026-04817,2009-05-11,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Makwana Father,+91-9800004817,,Service,Graduate,Makwana Mother,+91-9700004817,,Homemaker,Graduate,,,,,,Makwana Family,Parent,+91-9600004817,,2026-2027,GSEB,DPS,GUJ,STD12,COM,D,ACTIVE,,STD11,GEN,,,
dps.stu.04818,DronaStudent2026!,Kavya,Jadeja,dps.stu.04818@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04818,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-D,GSEB,DPS,GUJ,STD12,COM,D,DPS26-04818,003,GR-DPS-2026-04818,2009-06-12,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Jadeja Father,+91-9800004818,,Service,Graduate,Jadeja Mother,+91-9700004818,,Homemaker,Graduate,,,,,,Jadeja Family,Parent,+91-9600004818,,2026-2027,GSEB,DPS,GUJ,STD12,COM,D,ACTIVE,,STD11,GEN,,,
dps.stu.04819,DronaStudent2026!,Atharv,Gohil,dps.stu.04819@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04819,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-D,GSEB,DPS,GUJ,STD12,COM,D,DPS26-04819,004,GR-DPS-2026-04819,2009-07-13,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Gohil Father,+91-9800004819,,Service,Graduate,Gohil Mother,+91-9700004819,,Homemaker,Graduate,,,,,,Gohil Family,Parent,+91-9600004819,,2026-2027,GSEB,DPS,GUJ,STD12,COM,D,ACTIVE,,STD11,GEN,,,
dps.stu.04820,DronaStudent2026!,Nisha,Barot,dps.stu.04820@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04820,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-D,GSEB,DPS,GUJ,STD12,COM,D,DPS26-04820,005,GR-DPS-2026-04820,2009-08-14,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Barot Father,+91-9800004820,,Service,Graduate,Barot Mother,+91-9700004820,,Homemaker,Graduate,,,,,,Barot Family,Parent,+91-9600004820,,2026-2027,GSEB,DPS,GUJ,STD12,COM,D,ACTIVE,,STD11,GEN,,,
dps.stu.04821,DronaStudent2026!,Parth,Patel,dps.stu.04821@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04821,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-D,GSEB,DPS,GUJ,STD12,COM,D,DPS26-04821,006,GR-DPS-2026-04821,2009-09-15,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800004821,,Service,Graduate,Patel Mother,+91-9700004821,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600004821,,2026-2027,GSEB,DPS,GUJ,STD12,COM,D,ACTIVE,,STD11,GEN,,,
dps.stu.04822,DronaStudent2026!,Jiya,Shah,dps.stu.04822@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04822,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-D,GSEB,DPS,GUJ,STD12,COM,D,DPS26-04822,007,GR-DPS-2026-04822,2009-10-16,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800004822,,Service,Graduate,Shah Mother,+91-9700004822,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600004822,,2026-2027,GSEB,DPS,GUJ,STD12,COM,D,ACTIVE,,STD11,GEN,,,
dps.stu.04823,DronaStudent2026!,Dev,Desai,dps.stu.04823@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04823,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-D,GSEB,DPS,GUJ,STD12,COM,D,DPS26-04823,008,GR-DPS-2026-04823,2009-11-17,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800004823,,Service,Graduate,Desai Mother,+91-9700004823,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600004823,,2026-2027,GSEB,DPS,GUJ,STD12,COM,D,ACTIVE,,STD11,GEN,,,
dps.stu.04824,DronaStudent2026!,Mahi,Mehta,dps.stu.04824@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04824,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-D,GSEB,DPS,GUJ,STD12,COM,D,DPS26-04824,009,GR-DPS-2026-04824,2009-12-18,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800004824,,Service,Graduate,Mehta Mother,+91-9700004824,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600004824,,2026-2027,GSEB,DPS,GUJ,STD12,COM,D,ACTIVE,,STD11,GEN,,,
dps.stu.04825,DronaStudent2026!,Neil,Joshi,dps.stu.04825@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04825,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-D,GSEB,DPS,GUJ,STD12,COM,D,DPS26-04825,010,GR-DPS-2026-04825,2009-01-19,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800004825,,Service,Graduate,Joshi Mother,+91-9700004825,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600004825,,2026-2027,GSEB,DPS,GUJ,STD12,COM,D,ACTIVE,,STD11,GEN,,,
