username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.04861,DronaStudent2026!,Krish,Patel,dps.stu.04861@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04861,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-E,GSEB,DPS,GUJ,STD12,COM,E,DPS26-04861,001,GR-DPS-2026-04861,2009-01-01,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800004861,,Service,Graduate,Patel Mother,+91-9700004861,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600004861,,2026-2027,GSEB,DPS,GUJ,STD12,COM,E,ACTIVE,,STD11,GEN,,,
dps.stu.04862,DronaStudent2026!,Riya,Shah,dps.stu.04862@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04862,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-E,GSEB,DPS,GUJ,STD12,COM,E,DPS26-04862,002,GR-DPS-2026-04862,2009-02-02,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800004862,,Service,Graduate,Shah Mother,+91-9700004862,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600004862,,2026-2027,GSEB,DPS,GUJ,STD12,COM,E,ACTIVE,,STD11,GEN,,,
dps.stu.04863,DronaStudent2026!,Arjun,Desai,dps.stu.04863@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04863,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-E,GSEB,DPS,GUJ,STD12,COM,E,DPS26-04863,003,GR-DPS-2026-04863,2009-03-03,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800004863,,Service,Graduate,Desai Mother,+91-9700004863,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600004863,,2026-2027,GSEB,DPS,GUJ,STD12,COM,E,ACTIVE,,STD11,GEN,,,
dps.stu.04864,DronaStudent2026!,Avni,Mehta,dps.stu.04864@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04864,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-E,GSEB,DPS,GUJ,STD12,COM,E,DPS26-04864,004,GR-DPS-2026-04864,2009-04-04,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800004864,,Service,Graduate,Mehta Mother,+91-9700004864,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600004864,,2026-2027,GSEB,DPS,GUJ,STD12,COM,E,ACTIVE,,STD11,GEN,,,
dps.stu.04865,DronaStudent2026!,Vivaan,Joshi,dps.stu.04865@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04865,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-E,GSEB,DPS,GUJ,STD12,COM,E,DPS26-04865,005,GR-DPS-2026-04865,2009-05-05,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800004865,,Service,Graduate,Joshi Mother,+91-9700004865,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600004865,,2026-2027,GSEB,DPS,GUJ,STD12,COM,E,ACTIVE,,STD11,GEN,,,
dps.stu.04866,DronaStudent2026!,Ira,Trivedi,dps.stu.04866@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04866,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-E,GSEB,DPS,GUJ,STD12,COM,E,DPS26-04866,006,GR-DPS-2026-04866,2009-06-06,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800004866,,Service,Graduate,Trivedi Mother,+91-9700004866,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600004866,,2026-2027,GSEB,DPS,GUJ,STD12,COM,E,ACTIVE,,STD11,GEN,,,
dps.stu.04867,DronaStudent2026!,Dhruv,Parmar,dps.stu.04867@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04867,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-E,GSEB,DPS,GUJ,STD12,COM,E,DPS26-04867,007,GR-DPS-2026-04867,2009-07-07,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800004867,,Service,Graduate,Parmar Mother,+91-9700004867,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600004867,,2026-2027,GSEB,DPS,GUJ,STD12,COM,E,ACTIVE,,STD11,GEN,,,
dps.stu.04868,DronaStudent2026!,Kavya,Solanki,dps.stu.04868@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04868,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-E,GSEB,DPS,GUJ,STD12,COM,E,DPS26-04868,008,GR-DPS-2026-04868,2009-08-08,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800004868,,Service,Graduate,Solanki Mother,+91-9700004868,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600004868,,2026-2027,GSEB,DPS,GUJ,STD12,COM,E,ACTIVE,,STD11,GEN,,,
dps.stu.04869,DronaStudent2026!,Atharv,Thakkar,dps.stu.04869@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04869,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-E,GSEB,DPS,GUJ,STD12,COM,E,DPS26-04869,009,GR-DPS-2026-04869,2009-09-09,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800004869,,Service,Graduate,Thakkar Mother,+91-9700004869,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600004869,,2026-2027,GSEB,DPS,GUJ,STD12,COM,E,ACTIVE,,STD11,GEN,,,
dps.stu.04870,DronaStudent2026!,Nisha,Prajapati,dps.stu.04870@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04870,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-E,GSEB,DPS,GUJ,STD12,COM,E,DPS26-04870,010,GR-DPS-2026-04870,2009-10-10,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800004870,,Service,Graduate,Prajapati Mother,+91-9700004870,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600004870,,2026-2027,GSEB,DPS,GUJ,STD12,COM,E,ACTIVE,,STD11,GEN,,,
