username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.04906,DronaStudent2026!,Diya,Trivedi,dps.stu.04906@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04906,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-F,GSEB,DPS,GUJ,STD12,COM,F,DPS26-04906,001,GR-DPS-2026-04906,2009-10-19,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800004906,,Service,Graduate,Trivedi Mother,+91-9700004906,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600004906,,2026-2027,GSEB,DPS,GUJ,STD12,COM,F,ACTIVE,,STD11,GEN,,,
dps.stu.04907,DronaStudent2026!,Kabir,Parmar,dps.stu.04907@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04907,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-F,GSEB,DPS,GUJ,STD12,COM,F,DPS26-04907,002,GR-DPS-2026-04907,2009-11-20,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800004907,,Service,Graduate,Parmar Mother,+91-9700004907,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600004907,,2026-2027,GSEB,DPS,GUJ,STD12,COM,F,ACTIVE,,STD11,GEN,,,
dps.stu.04908,DronaStudent2026!,Myra,Solanki,dps.stu.04908@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04908,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-F,GSEB,DPS,GUJ,STD12,COM,F,DPS26-04908,003,GR-DPS-2026-04908,2009-12-21,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800004908,,Service,Graduate,Solanki Mother,+91-9700004908,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600004908,,2026-2027,GSEB,DPS,GUJ,STD12,COM,F,ACTIVE,,STD11,GEN,,,
dps.stu.04909,DronaStudent2026!,Reyansh,Thakkar,dps.stu.04909@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04909,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-F,GSEB,DPS,GUJ,STD12,COM,F,DPS26-04909,004,GR-DPS-2026-04909,2009-01-22,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800004909,,Service,Graduate,Thakkar Mother,+91-9700004909,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600004909,,2026-2027,GSEB,DPS,GUJ,STD12,COM,F,ACTIVE,,STD11,GEN,,,
dps.stu.04910,DronaStudent2026!,Saanvi,Prajapati,dps.stu.04910@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04910,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-F,GSEB,DPS,GUJ,STD12,COM,F,DPS26-04910,005,GR-DPS-2026-04910,2009-02-23,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800004910,,Service,Graduate,Prajapati Mother,+91-9700004910,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600004910,,2026-2027,GSEB,DPS,GUJ,STD12,COM,F,ACTIVE,,STD11,GEN,,,
dps.stu.04911,DronaStudent2026!,Krish,Chauhan,dps.stu.04911@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04911,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-F,GSEB,DPS,GUJ,STD12,COM,F,DPS26-04911,006,GR-DPS-2026-04911,2009-03-24,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Chauhan Father,+91-9800004911,,Service,Graduate,Chauhan Mother,+91-9700004911,,Homemaker,Graduate,,,,,,Chauhan Family,Parent,+91-9600004911,,2026-2027,GSEB,DPS,GUJ,STD12,COM,F,ACTIVE,,STD11,GEN,,,
dps.stu.04912,DronaStudent2026!,Riya,Rathod,dps.stu.04912@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04912,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-F,GSEB,DPS,GUJ,STD12,COM,F,DPS26-04912,007,GR-DPS-2026-04912,2009-04-25,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Rathod Father,+91-9800004912,,Service,Graduate,Rathod Mother,+91-9700004912,,Homemaker,Graduate,,,,,,Rathod Family,Parent,+91-9600004912,,2026-2027,GSEB,DPS,GUJ,STD12,COM,F,ACTIVE,,STD11,GEN,,,
dps.stu.04913,DronaStudent2026!,Arjun,Vyas,dps.stu.04913@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04913,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-F,GSEB,DPS,GUJ,STD12,COM,F,DPS26-04913,008,GR-DPS-2026-04913,2009-05-26,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Vyas Father,+91-9800004913,,Service,Graduate,Vyas Mother,+91-9700004913,,Homemaker,Graduate,,,,,,Vyas Family,Parent,+91-9600004913,,2026-2027,GSEB,DPS,GUJ,STD12,COM,F,ACTIVE,,STD11,GEN,,,
dps.stu.04914,DronaStudent2026!,Avni,Dave,dps.stu.04914@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04914,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-F,GSEB,DPS,GUJ,STD12,COM,F,DPS26-04914,009,GR-DPS-2026-04914,2009-06-27,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Dave Father,+91-9800004914,,Service,Graduate,Dave Mother,+91-9700004914,,Homemaker,Graduate,,,,,,Dave Family,Parent,+91-9600004914,,2026-2027,GSEB,DPS,GUJ,STD12,COM,F,ACTIVE,,STD11,GEN,,,
dps.stu.04915,DronaStudent2026!,Vivaan,Bhatt,dps.stu.04915@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04915,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-COM-F,GSEB,DPS,GUJ,STD12,COM,F,DPS26-04915,010,GR-DPS-2026-04915,2009-07-01,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Bhatt Father,+91-9800004915,,Service,Graduate,Bhatt Mother,+91-9700004915,,Homemaker,Graduate,,,,,,Bhatt Family,Parent,+91-9600004915,,2026-2027,GSEB,DPS,GUJ,STD12,COM,F,ACTIVE,,STD11,GEN,,,
