username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.04411,DronaStudent2026!,Krish,Chauhan,dps.stu.04411@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04411,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04411,001,GR-DPS-2026-04411,2009-07-10,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Chauhan Father,+91-9800004411,,Service,Graduate,Chauhan Mother,+91-9700004411,,Homemaker,Graduate,,,,,,Chauhan Family,Parent,+91-9600004411,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04412,DronaStudent2026!,Riya,Rathod,dps.stu.04412@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04412,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04412,002,GR-DPS-2026-04412,2009-08-11,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Rathod Father,+91-9800004412,,Service,Graduate,Rathod Mother,+91-9700004412,,Homemaker,Graduate,,,,,,Rathod Family,Parent,+91-9600004412,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04413,DronaStudent2026!,Arjun,Vyas,dps.stu.04413@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04413,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04413,003,GR-DPS-2026-04413,2009-09-12,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Vyas Father,+91-9800004413,,Service,Graduate,Vyas Mother,+91-9700004413,,Homemaker,Graduate,,,,,,Vyas Family,Parent,+91-9600004413,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04414,DronaStudent2026!,Avni,Dave,dps.stu.04414@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04414,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04414,004,GR-DPS-2026-04414,2009-10-13,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Dave Father,+91-9800004414,,Service,Graduate,Dave Mother,+91-9700004414,,Homemaker,Graduate,,,,,,Dave Family,Parent,+91-9600004414,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04415,DronaStudent2026!,Vivaan,Bhatt,dps.stu.04415@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04415,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04415,005,GR-DPS-2026-04415,2009-11-14,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Bhatt Father,+91-9800004415,,Service,Graduate,Bhatt Mother,+91-9700004415,,Homemaker,Graduate,,,,,,Bhatt Family,Parent,+91-9600004415,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04416,DronaStudent2026!,Ira,Panchal,dps.stu.04416@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04416,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04416,006,GR-DPS-2026-04416,2009-12-15,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Panchal Father,+91-9800004416,,Service,Graduate,Panchal Mother,+91-9700004416,,Homemaker,Graduate,,,,,,Panchal Family,Parent,+91-9600004416,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04417,DronaStudent2026!,Dhruv,Makwana,dps.stu.04417@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04417,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04417,007,GR-DPS-2026-04417,2009-01-16,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Makwana Father,+91-9800004417,,Service,Graduate,Makwana Mother,+91-9700004417,,Homemaker,Graduate,,,,,,Makwana Family,Parent,+91-9600004417,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04418,DronaStudent2026!,Kavya,Jadeja,dps.stu.04418@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04418,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04418,008,GR-DPS-2026-04418,2009-02-17,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Jadeja Father,+91-9800004418,,Service,Graduate,Jadeja Mother,+91-9700004418,,Homemaker,Graduate,,,,,,Jadeja Family,Parent,+91-9600004418,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04419,DronaStudent2026!,Atharv,Gohil,dps.stu.04419@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04419,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04419,009,GR-DPS-2026-04419,2009-03-18,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Gohil Father,+91-9800004419,,Service,Graduate,Gohil Mother,+91-9700004419,,Homemaker,Graduate,,,,,,Gohil Family,Parent,+91-9600004419,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04420,DronaStudent2026!,Nisha,Barot,dps.stu.04420@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04420,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04420,010,GR-DPS-2026-04420,2009-04-19,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Barot Father,+91-9800004420,,Service,Graduate,Barot Mother,+91-9700004420,,Homemaker,Graduate,,,,,,Barot Family,Parent,+91-9600004420,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04421,DronaStudent2026!,Parth,Patel,dps.stu.04421@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04421,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04421,011,GR-DPS-2026-04421,2009-05-20,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Patel Father,+91-9800004421,,Service,Graduate,Patel Mother,+91-9700004421,,Homemaker,Graduate,,,,,,Patel Family,Parent,+91-9600004421,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04422,DronaStudent2026!,Jiya,Shah,dps.stu.04422@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04422,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04422,012,GR-DPS-2026-04422,2009-06-21,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Shah Father,+91-9800004422,,Service,Graduate,Shah Mother,+91-9700004422,,Homemaker,Graduate,,,,,,Shah Family,Parent,+91-9600004422,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04423,DronaStudent2026!,Dev,Desai,dps.stu.04423@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04423,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04423,013,GR-DPS-2026-04423,2009-07-22,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Desai Father,+91-9800004423,,Service,Graduate,Desai Mother,+91-9700004423,,Homemaker,Graduate,,,,,,Desai Family,Parent,+91-9600004423,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04424,DronaStudent2026!,Mahi,Mehta,dps.stu.04424@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04424,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04424,014,GR-DPS-2026-04424,2009-08-23,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Mehta Father,+91-9800004424,,Service,Graduate,Mehta Mother,+91-9700004424,,Homemaker,Graduate,,,,,,Mehta Family,Parent,+91-9600004424,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04425,DronaStudent2026!,Neil,Joshi,dps.stu.04425@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04425,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-A,GSEB,DPS,GUJ,STD12,SCI,A,DPS26-04425,015,GR-DPS-2026-04425,2009-09-24,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Joshi Father,+91-9800004425,,Service,Graduate,Joshi Mother,+91-9700004425,,Homemaker,Graduate,,,,,,Joshi Family,Parent,+91-9600004425,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04426,DronaStudent2026!,Tara,Trivedi,dps.stu.04426@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04426,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-ENG-STD12-SCI-A,GSEB,DPS,ENG,STD12,SCI,A,DPS26-04426,001,GR-DPS-2026-04426,2009-10-25,Female,O+,,General,,Indian,English,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800004426,,Service,Graduate,Trivedi Mother,+91-9700004426,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600004426,,2026-2027,GSEB,DPS,ENG,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04427,DronaStudent2026!,Harsh,Parmar,dps.stu.04427@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04427,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-ENG-STD12-SCI-A,GSEB,DPS,ENG,STD12,SCI,A,DPS26-04427,002,GR-DPS-2026-04427,2009-11-26,Male,AB+,,General,,Indian,English,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800004427,,Service,Graduate,Parmar Mother,+91-9700004427,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600004427,,2026-2027,GSEB,DPS,ENG,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04428,DronaStudent2026!,Aesha,Solanki,dps.stu.04428@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04428,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-ENG-STD12-SCI-A,GSEB,DPS,ENG,STD12,SCI,A,DPS26-04428,003,GR-DPS-2026-04428,2009-12-27,Female,A+,,General,,Indian,English,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800004428,,Service,Graduate,Solanki Mother,+91-9700004428,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600004428,,2026-2027,GSEB,DPS,ENG,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04429,DronaStudent2026!,Yash,Thakkar,dps.stu.04429@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04429,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-ENG-STD12-SCI-A,GSEB,DPS,ENG,STD12,SCI,A,DPS26-04429,004,GR-DPS-2026-04429,2009-01-01,Male,B+,,General,,Indian,English,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800004429,,Service,Graduate,Thakkar Mother,+91-9700004429,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600004429,,2026-2027,GSEB,DPS,ENG,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
dps.stu.04430,DronaStudent2026!,Kiara,Prajapati,dps.stu.04430@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04430,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-ENG-STD12-SCI-A,GSEB,DPS,ENG,STD12,SCI,A,DPS26-04430,005,GR-DPS-2026-04430,2009-02-02,Female,O+,,General,,Indian,English,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800004430,,Service,Graduate,Prajapati Mother,+91-9700004430,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600004430,,2026-2027,GSEB,DPS,ENG,STD12,SCI,A,ACTIVE,,STD11,GEN,,,
