username,password,firstname,lastname,email,auth,city,country,timezone,lang,institution,department,idnumber,phone1,phone2,address,cohort1,board_code,school_code,medium_code,grade_code,stream_code,division_code,profile_field_admission_no,profile_field_roll_no,profile_field_student_gr_no,profile_field_birth_date,profile_field_gender,profile_field_blood_group,profile_field_religion,profile_field_category,profile_field_caste,profile_field_nationality,profile_field_mother_tongue,profile_field_admission_date,profile_field_apaar_id,profile_field_udise_student_code,profile_field_saral_id,profile_field_aadhaar_last4,profile_field_aadhaar_masked,profile_field_aadhaar_consent,profile_field_aadhaar_vault_ref,profile_field_house,profile_field_transport_required,profile_field_bus_route,profile_field_pickup_point,profile_field_rte_category,profile_field_bpl,profile_field_disability_status,profile_field_medical_conditions,profile_field_allergies,profile_field_doctor_name,profile_field_doctor_phone,profile_field_sibling_admission_no,profile_field_current_address_line1,profile_field_current_address_line2,profile_field_current_city,profile_field_current_taluka,profile_field_current_district,profile_field_current_state,profile_field_current_pincode,profile_field_permanent_address_line1,profile_field_permanent_address_line2,profile_field_permanent_city,profile_field_permanent_taluka,profile_field_permanent_district,profile_field_permanent_state,profile_field_permanent_pincode,profile_field_permanent_address_same,profile_field_father_name,profile_field_father_mobile,profile_field_father_email,profile_field_father_occupation,profile_field_father_qualification,profile_field_mother_name,profile_field_mother_mobile,profile_field_mother_email,profile_field_mother_occupation,profile_field_mother_qualification,profile_field_guardian_name,profile_field_guardian_mobile,profile_field_guardian_email,profile_field_guardian_occupation,profile_field_guardian_qualification,profile_field_emergency_contact_name,profile_field_emergency_contact_relation,profile_field_emergency_contact_mobile,profile_field_emergency_contact_alt_mobile,profile_field_current_academic_year,profile_field_current_board_code,profile_field_current_school_code,profile_field_current_medium_code,profile_field_current_grade_code,profile_field_current_stream_code,profile_field_current_division_code,profile_field_student_status,profile_field_previous_academic_year,profile_field_previous_grade_code,profile_field_previous_stream_code,profile_field_previous_division_code,profile_field_last_promotion_date,profile_field_last_promotion_result
dps.stu.04546,DronaStudent2026!,Aarohi,Trivedi,dps.stu.04546@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04546,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-D,GSEB,DPS,GUJ,STD12,SCI,D,DPS26-04546,001,GR-DPS-2026-04546,2009-10-10,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Trivedi Father,+91-9800004546,,Service,Graduate,Trivedi Mother,+91-9700004546,,Homemaker,Graduate,,,,,,Trivedi Family,Parent,+91-9600004546,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,D,ACTIVE,,STD11,GEN,,,
dps.stu.04547,DronaStudent2026!,Samarth,Parmar,dps.stu.04547@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04547,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-D,GSEB,DPS,GUJ,STD12,SCI,D,DPS26-04547,002,GR-DPS-2026-04547,2009-11-11,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Parmar Father,+91-9800004547,,Service,Graduate,Parmar Mother,+91-9700004547,,Homemaker,Graduate,,,,,,Parmar Family,Parent,+91-9600004547,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,D,ACTIVE,,STD11,GEN,,,
dps.stu.04548,DronaStudent2026!,Tanvi,Solanki,dps.stu.04548@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04548,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-D,GSEB,DPS,GUJ,STD12,SCI,D,DPS26-04548,003,GR-DPS-2026-04548,2009-12-12,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Solanki Father,+91-9800004548,,Service,Graduate,Solanki Mother,+91-9700004548,,Homemaker,Graduate,,,,,,Solanki Family,Parent,+91-9600004548,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,D,ACTIVE,,STD11,GEN,,,
dps.stu.04549,DronaStudent2026!,Rohan,Thakkar,dps.stu.04549@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04549,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-D,GSEB,DPS,GUJ,STD12,SCI,D,DPS26-04549,004,GR-DPS-2026-04549,2009-01-13,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Thakkar Father,+91-9800004549,,Service,Graduate,Thakkar Mother,+91-9700004549,,Homemaker,Graduate,,,,,,Thakkar Family,Parent,+91-9600004549,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,D,ACTIVE,,STD11,GEN,,,
dps.stu.04550,DronaStudent2026!,Bhakti,Prajapati,dps.stu.04550@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04550,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-D,GSEB,DPS,GUJ,STD12,SCI,D,DPS26-04550,005,GR-DPS-2026-04550,2009-02-14,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Prajapati Father,+91-9800004550,,Service,Graduate,Prajapati Mother,+91-9700004550,,Homemaker,Graduate,,,,,,Prajapati Family,Parent,+91-9600004550,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,D,ACTIVE,,STD11,GEN,,,
dps.stu.04551,DronaStudent2026!,Aarav,Chauhan,dps.stu.04551@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04551,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-D,GSEB,DPS,GUJ,STD12,SCI,D,DPS26-04551,006,GR-DPS-2026-04551,2009-03-15,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Chauhan Father,+91-9800004551,,Service,Graduate,Chauhan Mother,+91-9700004551,,Homemaker,Graduate,,,,,,Chauhan Family,Parent,+91-9600004551,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,D,ACTIVE,,STD11,GEN,,,
dps.stu.04552,DronaStudent2026!,Aditi,Rathod,dps.stu.04552@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04552,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-D,GSEB,DPS,GUJ,STD12,SCI,D,DPS26-04552,007,GR-DPS-2026-04552,2009-04-16,Female,A+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,ARYA,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Rathod Father,+91-9800004552,,Service,Graduate,Rathod Mother,+91-9700004552,,Homemaker,Graduate,,,,,,Rathod Family,Parent,+91-9600004552,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,D,ACTIVE,,STD11,GEN,,,
dps.stu.04553,DronaStudent2026!,Vihaan,Vyas,dps.stu.04553@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04553,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-D,GSEB,DPS,GUJ,STD12,SCI,D,DPS26-04553,008,GR-DPS-2026-04553,2009-05-17,Male,B+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,TAG,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Vyas Father,+91-9800004553,,Service,Graduate,Vyas Mother,+91-9700004553,,Homemaker,Graduate,,,,,,Vyas Family,Parent,+91-9600004553,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,D,ACTIVE,,STD11,GEN,,,
dps.stu.04554,DronaStudent2026!,Ananya,Dave,dps.stu.04554@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04554,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-D,GSEB,DPS,GUJ,STD12,SCI,D,DPS26-04554,009,GR-DPS-2026-04554,2009-06-18,Female,O+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,GAN,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Dave Father,+91-9800004554,,Service,Graduate,Dave Mother,+91-9700004554,,Homemaker,Graduate,,,,,,Dave Family,Parent,+91-9600004554,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,D,ACTIVE,,STD11,GEN,,,
dps.stu.04555,DronaStudent2026!,Ishaan,Bhatt,dps.stu.04555@students.dronapublicschool.example,manual,Ahmedabad,IN,Asia/Kolkata,en,Drona Public School,Higher Secondary,DPS26-04555,,,"Ahmedabad, Gujarat",DPS-2026-GSEB-GUJ-STD12-SCI-D,GSEB,DPS,GUJ,STD12,SCI,D,DPS26-04555,010,GR-DPS-2026-04555,2009-07-19,Male,AB+,,General,,Indian,Gujarati,2026-04-01,,,,,,0,,RAM,0,,,0,0,None,,,,,,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,Ahmedabad,,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,380015,1,Bhatt Father,+91-9800004555,,Service,Graduate,Bhatt Mother,+91-9700004555,,Homemaker,Graduate,,,,,,Bhatt Family,Parent,+91-9600004555,,2026-2027,GSEB,DPS,GUJ,STD12,SCI,D,ACTIVE,,STD11,GEN,,,
