student_username,student_idnumber,firstname,lastname,current_academic_year,target_academic_year,current_board_code,current_school_code,current_medium_code,current_grade_code,current_stream_code,current_division_code,current_cohort_code,result_status,promotion_decision,target_board_code,target_school_code,target_medium_code,target_grade_code,target_stream_code,target_division_code,target_cohort_code,new_roll_no,effective_date,remove_from_previous_cohort,update_user_profile,notify_parent,remarks
dps.stu.00001,DPS26-00001,Aarav,Patel,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00002,DPS26-00002,Aditi,Shah,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00003,DPS26-00003,Vihaan,Desai,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00004,DPS26-00004,Ananya,Mehta,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00005,DPS26-00005,Ishaan,Joshi,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00006,DPS26-00006,Diya,Trivedi,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00007,DPS26-00007,Kabir,Parmar,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00008,DPS26-00008,Myra,Solanki,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00009,DPS26-00009,Reyansh,Thakkar,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00010,DPS26-00010,Saanvi,Prajapati,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00011,DPS26-00011,Krish,Chauhan,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00012,DPS26-00012,Riya,Rathod,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00013,DPS26-00013,Arjun,Vyas,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00014,DPS26-00014,Avni,Dave,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00015,DPS26-00015,Vivaan,Bhatt,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00016,DPS26-00016,Ira,Panchal,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00017,DPS26-00017,Dhruv,Makwana,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00018,DPS26-00018,Kavya,Jadeja,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00019,DPS26-00019,Atharv,Gohil,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00020,DPS26-00020,Nisha,Barot,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,A,DPS-2026-GSEB-GUJ-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,A,DPS-2027-GSEB-GUJ-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
